Date,Day,Phase,ZT,Actual_time,Video_file,Frame,FS,FA,Total,Notes
27-Apr-19,1,Blasting,0,12:00,GH010195,120,8,6,14,
27-Apr-19,1,Blasting,0.5,12:30,GH010195,180,7,8,15,
27-Apr-19,1,Blasting,1,13:00,GH010195,240,7,7,14,
27-Apr-19,1,Blasting,1.5,13:30,GH010195,300,7,6,13,
27-Apr-19,1,Blasting,2,14:00,GH010195,360,10,9,19,
27-Apr-19,1,Blasting,2.5,14:30,GH010195,420,6,12,18,
27-Apr-19,1,Blasting,3,15:00,GH010195,480,9,9,18,
27-Apr-19,1,Blasting,3.5,15:30,GH010195,540,8,10,18,
27-Apr-19,1,Blasting,4,16:00,GH010195,600,10,10,20,
27-Apr-19,1,Blasting,4.5,16:30,GH010195,660,13,11,24,
27-Apr-19,1,Blasting,5,17:00,GH010195,720,11,19,30,
27-Apr-19,1,Blasting,5.5,17:30,GH010195,780,8,17,25,
27-Apr-19,1,Blasting,6,18:00,GH010195,840,8,17,25,
27-Apr-19,1,Blasting,6.5,18:30,GH010195,900,12,10,22,
27-Apr-19,1,Blasting,7,19:00,GH010195,960,8,14,22,
27-Apr-19,1,Blasting,7.5,19:30,GH010195,1020,11,20,31,
27-Apr-19,1,Blasting,8,20:00,GH010195,1080,10,20,30,
27-Apr-19,1,Blasting,8.5,20:30,GH010195,1140,9,32,41,
27-Apr-19,1,Blasting,9,21:00,GH010195,1200,10,23,33,
27-Apr-19,1,Blasting,9.5,21:30,GH010195,1260,11,22,33,
27-Apr-19,1,Blasting,10,22:00,GH010195,1320,12,22,34,
27-Apr-19,1,Blasting,10.5,22:30,GH010195,1380,17,18,35,
27-Apr-19,1,Blasting,11,23:00,GH010195,1440,14,19,33,
27-Apr-19,1,Blasting,11.5,23:30,GH010195,1500,16,23,39,
28-Apr-19,1,Blasting,12,0:00,GH010195,1560,17,20,37,
28-Apr-19,1,Blasting,12.5,0:30,GH010195,1620,14,25,39,
28-Apr-19,1,Blasting,13,1:00,GH010195,1680,17,25,42,
28-Apr-19,1,Blasting,13.5,1:30,GH010195,1740,14,26,40,
28-Apr-19,1,Blasting,14,2:00,GH010195,1800,12,36,48,
28-Apr-19,1,Blasting,14.5,2:30,GH010195,1860,12,40,52,
28-Apr-19,1,Blasting,15,3:00,GH010195,1920,12,35,47,
28-Apr-19,1,Blasting,15.5,3:30,GH010195,1980,24,29,53,
28-Apr-19,1,Blasting,16,4:00,GH010195,2040,15,37,52,
28-Apr-19,1,Blasting,16.5,4:30,GH010195,2100,21,33,54,
28-Apr-19,1,Blasting,17,5:00,GH010195,2160,12,41,53,
