ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
LOC105247750	cosine	24.0	0.0	2.0	21.15505	2.899647369796311	10.0	8.0	27.5529	17.4475	10.1054	1.57918899556	1.20811180549	0.6363636363636367	0.001988079806063042	0.13121326720016077
LOC105247751	cosine	24.0	14.0	12.0	0.020726516666666667	0.02147380018366697	2.0	4.0	0.0729237	0.0	0.0729237	-10000	NA	0.2860387767736779	0.0977376033412587	6.450681820523074


LOC105247755	cosine	24.0	14.0	2.0	0.005167	0.01713700029176635	14.0	2.0	0.062004	0.0	0.062004	-10000	0	0.4082482904638631	0.03232684049927885	2.1335714729524042
LOC105247756	cosine	24.0	20.0	22.0	0.5609610833333333	0.7580688404289172	10.0	8.0	2.44203	0.0	2.44203	-10000	NA	0.39477101697586137	0.03699704127429398	2.4418047241034024
LOC105247758	cosine	24.0	14.0	10.0	37.57379166666667	3.069233265127284	20.0	10.0	41.765	29.1157	12.6493	1.4344494551	1.07907197352	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247759	cosine	24.0	2.0	0.0	46.702441666666665	5.125091279912051	4.0	24.0	55.3179	39.6122	15.7057	1.396486436	1.1950651479	0.666666666666667	0.0012756406460599887	0.08419228263995926
LOC105247760	cosine	24.0	8.0	2.0	26.013233333333332	5.014393259297568	10.0	2.0	40.5499	20.0632	20.4867	2.02110829778	1.16927349431	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247762	cosine	24.0	6.0	8.0	93.48558333333334	10.450839453351211	6.0	10.0	107.1	70.0739	37.0261	1.52838646058	1.22265174431	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247764	cosine	24.0	22.0	0.0	0.7617664166666667	0.21028995108122275	8.0	10.0	1.3192	0.502015	0.817185	2.627809926	1.35910022763	0.24242424242424254	0.1362855657955242	8.994847342504597
LOC105247765	cosine	24.0	14.0	16.0	0.7465933333333333	0.12636836414647282	12.0	4.0	0.992867	0.544876	0.447991	1.8221889017	1.25057078865	0.24242424242424254	0.1362855657955242	8.994847342504597

LOC105247768	cosine	24.0	12.0	20.0	6.934889166666667	0.9224841075275889	12.0	4.0	8.73137	5.61285	3.11852	1.55560365946	1.27594739502	0.5151515151515154	0.00986438530634296	0.6510494302186354

LOC105247774	cosine	24.0	18.0	16.0	4.180364166666667	0.7622615286922891	12.0	16.0	5.16688	2.71285	2.45403	1.90459479883	1.26488564616	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247775	cosine	24.0	16.0	18.0	0.23563945833333333	0.10570286991555196	2.0	18.0	0.412088	0.0598518	0.3522362	6.88513962822	1.59084493928	0.6969696969696972	0.0008043156973336818	0.053084836024022995

LOC105247779	cosine	24.0	12.0	20.0	0.03739080833333334	0.0750997965159966	12.0	2.0	0.257052	0.0	0.257052	-10000	NA	0.674199862463242	0.0011393182690868902	0.07519500575973476
LOC105247781	cosine	24.0	16.0	14.0	0.051535500000000005	0.07966386379396453	16.0	2.0	0.235591	0.0	0.235591	-10000	NA	0.31948922553234876	0.07409694262533846	4.890398213272339
LOC105247783	cosine	24.0	2.0	4.0	0.016879425	0.037994236810384045	2.0	4.0	0.11195	0.0	0.11195	-10000	0	0.2954684201426395	0.09057420265634841	5.977897375318995
LOC105247784	cosine	24.0	0.0	2.0	66.32216666666666	6.310409316403774	10.0	2.0	84.0406	61.236	22.8046	1.37240512117	1.11192184399	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247785	cosine	24.0	10.0	14.0	55.46630000000001	7.1502522609345744	10.0	20.0	69.6589	45.1225	24.5364	1.54377306222	1.19075293866	0.7878787878787882	0.0001813930547667903	0.01197194161460816
LOC105247786	cosine	24.0	16.0	18.0	15.246618333333332	2.649809565553197	14.0	10.0	18.8186	8.58182	10.23678	2.1928448744	1.20774687299	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247787	cosine	24.0	8.0	22.0	64.94363333333334	6.607592065487159	12.0	22.0	77.6925	56.3926	21.2999	1.37770735877	1.19811747806	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247788	cosine	24.0	12.0	20.0	51.5858	4.653723774033005	12.0	20.0	59.6969	43.5381	16.1588	1.37114159782	1.09948666971	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247789	cosine	24.0	10.0	8.0	79.40176666666666	5.455433171975337	20.0	8.0	88.828	70.6153	18.2127	1.25791436134	1.139513135	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247792	cosine	24.0	14.0	12.0	55.44485833333334	3.0467656343676794	20.0	2.0	59.8929	50.4658	9.4271	1.18680175485	1.083690636	0.4242424242424244	0.02742697317621316	1.8101802296300684
LOC105247793	cosine	24.0	4.0	0.0	22.426075	2.585961100224634	8.0	20.0	29.139	18.3792	10.7598	1.58543353356	1.12928767409	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247794	cosine	24.0	20.0	18.0	23.332783333333335	0.9421057715151852	20.0	18.0	24.8255	21.7489	3.0766	1.14146002786	1.07713424694	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247795	cosine	24.0	10.0	8.0	29.1097	2.311945260309306	10.0	14.0	34.7951	26.5165	8.2786	1.31220560783	1.11270423594	0.4242424242424244	0.02742697317621316	1.8101802296300684
LOC105247796	cosine	24.0	18.0	12.0	82.92640833333333	6.1655199515069725	24.0	8.0	93.4557	73.0227	20.433	1.27981709797	1.14521856018	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247797	cosine	24.0	6.0	0.0	31.99225	6.843922793191538	6.0	10.0	40.0225	17.6434	22.3791	2.26841198408	1.35978395161	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247798	cosine	24.0	16.0	12.0	7.928869166666668	0.838960548441327	22.0	12.0	9.48748	6.1022	3.38528	1.55476385566	1.16127578215	0.5454545454545456	0.0067819162397311575	0.4476064718222564
LOC105247799	cosine	24.0	4.0	0.0	8.621021666666667	1.712139651643684	6.0	10.0	11.1937	5.31644	5.87726	2.10548788287	1.28759850684	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247800	cosine	24.0	14.0	20.0	15.111141666666667	1.2544133000851658	14.0	20.0	16.9049	12.7312	4.1737	1.32783241171	1.13152840026	0.5454545454545456	0.0067819162397311575	0.4476064718222564
LOC105247801	cosine	24.0	10.0	12.0	0.12170360833333332	0.09107880306141908	10.0	4.0	0.251783	0.0	0.251783	-10000	3.78668303624	0.26363719294623356	0.11640217218244758	7.682543364041541
LOC105247802	cosine	24.0	0.0	2.0	33.5584	3.759217606098376	20.0	8.0	39.4395	27.6066	11.8329	1.4286257634	1.21007794268	0.666666666666667	0.0012756406460599887	0.08419228263995926
LOC105247803	cosine	24.0	4.0	0.0	4.8992575	1.5560765992345673	6.0	24.0	7.31621	2.00435	5.31186	3.65016588919	1.60859276466	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247804	cosine	24.0	16.0	18.0	2.5892918333333332	0.9605807664569244	2.0	22.0	4.7534	0.932462	3.820938	5.09768762695	1.49991464259	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247805	cosine	24.0	20.0	16.0	34.646825	2.588426720720845	24.0	10.0	39.9749	29.8417	10.1332	1.33956510521	1.09499919563	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247806	cosine	24.0	18.0	12.0	57.19224166666667	9.659438627016439	24.0	8.0	79.5715	42.8105	36.761	1.85869120893	1.23339737652	0.5454545454545456	0.0067819162397311575	0.4476064718222564
LOC105247807	cosine	24.0	14.0	16.0	0.20467609166666667	0.1306533938688382	8.0	16.0	0.504802	0.0572392	0.4475628	8.81916588632	2.87145839547	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247808	cosine	24.0	10.0	8.0	21.773408333333332	1.3793817724245967	10.0	18.0	24.9562	19.8995	5.0567	1.25411191236	1.07824048092	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247809	cosine	24.0	2.0	0.0	64.06095833333332	5.240420471116529	8.0	22.0	72.5328	57.0482	15.4846	1.271430124	1.15602563888	0.666666666666667	0.0012756406460599887	0.08419228263995926
LOC105247810	cosine	24.0	6.0	20.0	41.066325	9.056420035544306	6.0	10.0	54.537	27.3253	27.2117	1.99584268059	1.50764308567	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247811	cosine	24.0	2.0	8.0	66.53544166666667	2.781194109388487	2.0	10.0	70.5564	61.2961	9.2603	1.15107486447	1.0635541406	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247812	cosine	24.0	16.0	18.0	11.035011666666668	1.5634770148658688	16.0	10.0	13.4294	8.33639	5.09301	1.61093710827	1.27651920114	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247813	cosine	24.0	0.0	8.0	42.635675	5.45926918432083	10.0	8.0	57.252	35.7576	21.4944	1.60111416874	1.14995925856	0.4242424242424244	0.02742697317621316	1.8101802296300684
LOC105247814	cosine	24.0	8.0	10.0	59.93401666666666	8.263817665666933	6.0	10.0	70.5666	39.2773	31.2893	1.7966255318	1.15029790274	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247815	cosine	24.0	8.0	6.0	42.316925000000005	7.965532526676523	10.0	20.0	63.5799	33.2346	30.3453	1.91306349407	1.23204652707	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247816	cosine	24.0	18.0	16.0	45.446666666666665	7.860609658537236	10.0	16.0	67.8779	36.5566	31.3213	1.85678919812	1.17648907559	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247817	cosine	24.0	20.0	22.0	0.21152964999999999	0.14471445938224062	18.0	2.0	0.594164	0.0507952	0.5433688	11.697246984	2.36468532741	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247818	cosine	24.0	6.0	4.0	0.9692159999999999	0.46501950142494025	8.0	14.0	1.95402	0.460865	1.493155	4.23989671596	1.64434748674	0.3636363636363638	0.04990853551146973	3.293963343757002
LOC105247821	cosine	24.0	20.0	22.0	0.40693425	0.2763454148009712	18.0	24.0	1.01114	0.061459	0.949681	16.4522689923	2.88313844514	0.3939393939393941	0.037302414641954044	2.461959366368967
LOC105247822	cosine	24.0	8.0	6.0	33.58026666666667	1.3422164215290397	8.0	6.0	36.0348	31.0185	5.0163	1.16171961894	1.0285691868	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247823	cosine	24.0	18.0	16.0	0.2816914583333333	0.25980385030341147	8.0	12.0	1.03775	0.0933845	0.9443655	11.1126578822	2.75777107573	0.5151515151515154	0.00986438530634296	0.6510494302186354
LOC105247826	cosine	24.0	0.0	2.0	100.34803333333332	24.004129902384623	10.0	4.0	169.655	79.1529	90.5021	2.14338324938	1.2950290797	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247827	cosine	24.0	18.0	16.0	53.85499166666667	8.976614944626801	24.0	14.0	72.7694	44.018	28.7514	1.65317370167	1.21428645971	0.3636363636363638	0.04990853551146973	3.293963343757002
LOC105247828	cosine	24.0	6.0	2.0	1.7101424999999997	0.32994687671212053	8.0	2.0	2.30203	1.18188	1.12015	1.94776965513	1.36204409225	0.6363636363636367	0.001988079806063042	0.13121326720016077
LOC105247829	cosine	24.0	14.0	20.0	21.87815	1.7208217085160216	14.0	10.0	24.583	19.111	5.472	1.28632724609	1.16255855591	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247830	cosine	24.0	20.0	16.0	17.070116666666667	2.627653148988445	10.0	16.0	22.9566	14.1172	8.8394	1.62614399456	1.26274398759	0.4242424242424244	0.02742697317621316	1.8101802296300684
LOC105247831	cosine	24.0	6.0	8.0	93.63423333333331	9.968207087145721	4.0	10.0	111.056	72.5519	38.5041	1.53071111852	1.16286168579	0.2727272727272728	0.10854448149943507	7.163935778962715
LOC105247832	cosine	24.0	14.0	18.0	8.813908333333332	2.269010629234811	14.0	10.0	11.9221	3.14141	8.78069	3.79514294537	1.3884827072	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247833	cosine	24.0	10.0	12.0	1.5444825	0.30491512868679266	20.0	14.0	2.13488	1.17967	0.95521	1.80972644892	1.43328188012	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247834	cosine	24.0	12.0	20.0	21.84945	2.122186408518347	8.0	10.0	25.9223	17.9069	8.0154	1.4476151651	1.17790330206	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247835	cosine	24.0	2.0	14.0	0.13337843333333332	0.09049693452671323	2.0	14.0	0.341464	0.0	0.341464	-10000	1.91122076753	0.6870429186215167	0.0009373049154500573	0.061862124419703776
LOC105247836	cosine	24.0	12.0	14.0	5.214554166666667	1.098600856380957	8.0	16.0	7.57719	4.05216	3.52503	1.86991382374	1.47366509691	0.5454545454545456	0.0067819162397311575	0.4476064718222564
LOC105247837	cosine	24.0	18.0	20.0	0.09123074999999999	0.160675637966746	16.0	2.0	0.551599	0.0	0.551599	-10000	NA	0.5591061446816104	0.005696694226029845	0.3759818189179698
LOC105247838	cosine	24.0	18.0	2.0	0.011206083333333334	0.037166373786121816	18.0	2.0	0.134473	0.0	0.134473	-10000	0	0.4082482904638631	0.03232684049927885	2.1335714729524042
LOC105247839	cosine	24.0	10.0	14.0	19.315408333333338	4.9446427150095715	10.0	14.0	31.8425	12.2822	19.5603	2.59257299181	1.28299630165	0.8181818181818186	0.00010656710346223243	0.00703342882850734
LOC105247840	cosine	24.0	6.0	8.0	15.282004166666665	2.148114939551491	6.0	10.0	17.5074	9.64085	7.86655	1.81596021098	1.14441754067	0.4242424242424244	0.02742697317621316	1.8101802296300684
LOC105247841	cosine	24.0	22.0	8.0	123.0499	18.022729174850294	22.0	10.0	144.998	76.6698	68.3282	1.89120096831	1.16512543882	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247843	cosine	24.0	10.0	14.0	40.667875	3.692979840437122	10.0	20.0	48.3734	36.0965	12.2769	1.34011330738	1.16339858763	0.575757575757576	0.004583576838638997	0.3025160713501738
LOC105247844	cosine	24.0	10.0	14.0	7.371465833333333	1.367253477514066	10.0	20.0	10.4774	5.48579	4.99161	1.90991634751	1.2803817533	0.3939393939393941	0.037302414641954044	2.461959366368967
LOC105247846	cosine	24.0	22.0	4.0	16.40544166666667	2.5219838938351464	10.0	8.0	22.3279	13.8442	8.4837	1.61279813929	1.24478224572	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247847	cosine	24.0	8.0	10.0	25.526825000000002	4.355167947608336	8.0	10.0	30.8704	15.4239	15.4465	2.00146525846	1.26525913023	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247848	cosine	24.0	0.0	2.0	156.3898333333333	35.93766641198186	24.0	8.0	213.055	111.14	101.915	1.91699658089	1.57740179674	0.7878787878787882	0.0001813930547667903	0.01197194161460816
LOC105247849	cosine	24.0	12.0	10.0	11.165033333333334	0.9697498391624284	12.0	10.0	13.0376	10.0327	3.0049	1.29951060034	1.1516474379	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247850	cosine	24.0	8.0	2.0	0.0076126250000000005	0.02524822079467928	8.0	2.0	0.0913515	0.0	0.0913515	-10000	0	0.4082482904638631	0.03232684049927885	2.1335714729524042
LOC105247851	cosine	24.0	0.0	4.0	4.313603333333333	0.7195134984758026	20.0	10.0	5.7673	3.21081	2.55649	1.79621341655	1.31626397028	0.666666666666667	0.0012756406460599887	0.08419228263995926
LOC105247852	cosine	24.0	10.0	6.0	89.272825	11.460470645449444	10.0	20.0	120.676	77.6058	43.0702	1.55498686954	1.18809201624	0.2121212121212122	0.16852366968754684	11.122562199378091
LOC105247853	cosine	24.0	20.0	22.0	28.760075000000004	0.7980720927387034	24.0	22.0	29.9941	27.0387	2.9554	1.10930259221	1.03878496774	0.30303030303030315	0.08511721571435177	5.617736237147216
LOC105247854	cosine	24.0	6.0	4.0	0.2113730833333333	0.17579387440383046	22.0	2.0	0.576321	0.0	0.576321	-10000	2.56812653941	0.41871789467931214	0.02904431653896035	1.916924891571383
LOC105247855	cosine	24.0	0.0	8.0	0.6093855	0.15258312943523605	18.0	8.0	0.823467	0.358465	0.465002	2.29720335319	1.35148367899	0.3939393939393941	0.037302414641954044	2.461959366368967
LOC105247856	cosine	24.0	12.0	22.0	1.6247808333333336	0.4741260281377082	12.0	24.0	2.5956	1.03693	1.55867	2.5031583617	1.6603798756	0.575757575757576	0.004583576838638997	0.3025160713501738
LOC105247857	cosine	24.0	6.0	0.0	0.21834030000000001	0.3161087894890355	8.0	10.0	1.18981	0.0	1.18981	-10000	NA	0.38138503569823723	0.042167604419924586	2.7830618917150227
LOC105247858	cosine	24.0	22.0	8.0	16.996216666666665	2.0559907359686447	22.0	10.0	19.5971	12.1701	7.427	1.61026614407	1.16760985353	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247859	cosine	24.0	4.0	22.0	54.61889166666666	3.7718354405731818	12.0	20.0	61.1393	48.9193	12.22	1.24979915902	1.12047017829	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247860	cosine	24.0	20.0	22.0	4.008639916666666	7.336070933237463	8.0	24.0	27.9195	0.296732	27.622768	94.0899532238	4.1543348493	0.4242424242424244	0.02742697317621316	1.8101802296300684
LOC105247861	cosine	24.0	4.0	2.0	5.480624166666666	1.8415763283867184	4.0	18.0	8.35147	2.4039	5.94757	3.47413369941	1.84368751171	0.24242424242424254	0.1362855657955242	8.994847342504597
LOC105247862	cosine	24.0	14.0	10.0	65.79472500000001	8.014491628827223	14.0	10.0	76.5599	48.9307	27.6292	1.5646598148	1.21888200424	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247863	cosine	24.0	0.0	2.0	78.71494166666666	14.463305855132056	24.0	12.0	103.45	54.4091	49.0409	1.90133635734	1.29402649438	0.6363636363636367	0.001988079806063042	0.13121326720016077
LOC105247864	cosine	24.0	10.0	14.0	31.47294166666667	5.45469677135499	10.0	14.0	47.472	24.949	22.523	1.90276163373	1.10322469473	0.575757575757576	0.004583576838638997	0.3025160713501738
LOC105247865	cosine	24.0	4.0	0.0	7.314066666666666	2.2789276396415534	6.0	10.0	9.80811	2.15489	7.65322	4.55155947635	1.37691954744	0.3939393939393941	0.037302414641954044	2.461959366368967
LOC105247866	cosine	24.0	8.0	6.0	0.012226541666666667	0.021602471706591755	8.0	2.0	0.0551345	0.0	0.0551345	-10000	NA	0.44946657497549475	0.0209661981893017	1.3837690804939122
LOC105247867	cosine	24.0	0.0	22.0	0.248139	0.07024698535761754	10.0	18.0	0.368158	0.149628	0.21853	2.46048867859	1.69275535654	0.3939393939393941	0.037302414641954044	2.461959366368967
LOC105247868	cosine	24.0	0.0	4.0	0.7155125000000001	0.14535914857087598	24.0	22.0	0.961994	0.510646	0.451348	1.88387650153	1.46130824631	0.3636363636363638	0.04990853551146973	3.293963343757002
LOC105247869	cosine	24.0	14.0	16.0	0.18643123333333333	0.09819889839309412	10.0	20.0	0.377579	0.0398489	0.3377301	9.47526782421	1.86412539714	0.575757575757576	0.004583576838638997	0.3025160713501738
LOC105247870	cosine	24.0	16.0	12.0	0.06944991666666667	0.10791555102685489	16.0	4.0	0.391964	0.0	0.391964	-10000	NA	0.7411590223261941	0.00039778904624074133	0.026254077051888928
LOC105247872	cosine	24.0	8.0	10.0	0.05131130833333333	0.034364983594652905	8.0	10.0	0.108386	0.0	0.108386	-10000	2.4397005305	0.35115526951766407	0.05600149309502257	3.6960985442714898
LOC105247873	cosine	24.0	0.0	10.0	69.72191666666667	7.341395342829742	20.0	10.0	78.6686	50.2185	28.4501	1.56652628016	1.09722441407	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247874	cosine	24.0	4.0	8.0	26.821991666666666	1.1928776484188233	24.0	10.0	29.4532	25.0916	4.3616	1.17382709751	1.06910628822	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247875	cosine	24.0	18.0	16.0	62.06331666666666	4.444354578532436	24.0	12.0	70.6264	56.3072	14.3192	1.25430495567	1.10655464224	0.575757575757576	0.004583576838638997	0.3025160713501738
LOC105247876	cosine	24.0	4.0	2.0	122.9355	9.466383113417711	8.0	10.0	133.139	100.36	32.779	1.32661418892	1.09296455201	0.45454545454545475	0.019834630913749846	1.3090856403074898
LOC105247877	cosine	24.0	6.0	8.0	156.06584166666667	25.484342493168178	4.0	10.0	195.241	88.6461	106.5949	2.20247704073	1.16022527854	0.3939393939393941	0.037302414641954044	2.461959366368967
LOC105247878	cosine	24.0	6.0	8.0	2.485949166666667	0.45661247182299514	24.0	10.0	3.21346	1.47691	1.73655	2.17579947322	1.22249387662	0.3333333333333335	0.06570102610411901	4.336267722871855
LOC105247879	cosine	24.0	12.0	16.0	73.33061666666667	12.048722043701934	10.0	18.0	109.116	60.4937	48.6223	1.80375807729	1.12308293883	0.6060606060606063	0.003044944233852819	0.20096631943428606
LOC105247880	cosine	24.0	6.0	8.0	32.25924166666666	3.5282014907169383	6.0	10.0	38.0811	23.8522	14.2289	1.59654455354	1.08293470499	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247881	cosine	24.0	4.0	2.0	104.77281666666666	30.799140540547377	4.0	10.0	145.768	36.342	109.426	4.0110065489	1.42238977746	0.4242424242424244	0.02742697317621316	1.8101802296300684
LOC105247882	cosine	24.0	18.0	14.0	115.85593333333334	13.229765884129955	10.0	8.0	138.821	91.7192	47.1018	1.51354351106	1.16661496084	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247883	cosine	24.0	16.0	20.0	0.05629631666666666	0.051979263093177096	14.0	4.0	0.159223	0.0	0.159223	-10000	NA	0.34960294939005077	0.05679866795607516	3.7487120851009608
LOC105247884	cosine	24.0	10.0	16.0	0.4213824166666667	0.13647313612848158	10.0	16.0	0.774993	0.253046	0.521947	3.06265659208	1.38687846076	0.4848484848484851	0.014106153084401886	0.9310061035705245
LOC105247885	cosine	24.0	2.0	0.0	67.69869166666668	5.955762246829863	6.0	10.0	73.4813	52.0346	21.4467	1.41216229201	1.1071382331	0.575757575757576	0.004583576838638997	0.3025160713501738
LOC105247888	cosine	24.0	22.0	16.0	12.522875	1.436135609964579	24.0	16.0	15.9307	10.7488	5.1819	1.48209102411	1.15358482613	0.3939393939393941	0.037302414641954044	2.461959366368967
LOC105247889	cosine	24.0	0.0	2.0	1.02320575	0.49591927925824875	24.0	2.0	1.81943	0.215646	1.603784	8.4371145303	2.49091966593	0.3939393939393941	0.037302414641954044	2.461959366368967
LOC105247890	cosine	24.0	20.0	6.0	0.9281166666666668	0.25214439079402284	20.0	8.0	1.34519	0.530908	0.814282	2.53375349401	1.55307828392	0.6363636363636367	0.001988079806063042	0.13121326720016077
LOC105247894	cosine	24.0	18.0	20.0	0.09026364166666667	0.06435415692444245	18.0	2.0	0.188527	0.0	0.188527	-10000	3.16916095448	0.41222575117291	0.031045427983804715	2.048998246931111
LOC105247895	cosine	24.0	4.0	0.0	32.360675	3.2792919871330457	4.0	24.0	37.7459	26.2024	11.5435	1.44055124721	1.11689085481	0.8181818181818186	0.00010656710346223243	0.00703342882850734

LOC105247897	cosine	24.0	8.0	6.0	6.123501666666667	2.173854435439631	8.0	10.0	9.50224	3.03222	6.47002	3.13375678546	2.06088993529	0.3333333333333335	0.06570102610411901	4.336267722871855
