"","GO","GO_desc","over_under","adj_pVal","sam_freq","back_freq","n_GO_DEG","n_DEG","n_GO","n_all_genes","pVal","gene_name"
"1","no_annot",NA,"over",2.16551495394599e-119,0.77709,0.45131,882,1135,6234,13813,6.3691616292529e-121,NA
"2","GO:0015074","DNA integration","over",1.26432681388768e-27,0.04141,0.00623,47,1135,86,13813,7.43721655228047e-29,"LOC105248410, LOC105249969, LOC105250519, LOC105250779, LOC105251003, LOC112637097, LOC112637190, LOC112637218, LOC112637319, LOC112637419, LOC112637432, LOC112637532, LOC112637665, LOC112637813, LOC112637858, LOC112637884, LOC112637885, LOC112637936, LOC112637939, LOC112637948, LOC112637985, LOC112637998, LOC112638071, LOC112638088, LOC112638098, LOC112638099, LOC112638119, LOC112638218, LOC112638359, LOC112638395, LOC112638515, LOC112638589, LOC112638592, LOC112638625, LOC112638640, LOC112638641, LOC112638782, LOC112638850, LOC112639094, LOC112639111, LOC112639290, LOC112639294, LOC112639295, LOC112639317, LOC112639550, LOC112639813, LOC112639981"
"3","GO:0031012","extracellular matrix","over",1.05467404482005e-11,0.01762,0.00275,20,1135,38,13813,1.24079299390594e-12,"LOC105255868, LOC112637426, LOC112637712, LOC112637852, LOC112637860, LOC112637926, LOC112637937, LOC112638031, LOC112638167, LOC112638360, LOC112638384, LOC112638467, LOC112638481, LOC112638564, LOC112638709, LOC112638781, LOC112638944, LOC112639052, LOC112639153, LOC112639796"
"4","GO:0000166","nucleotide binding","over",1.72058658102188e-09,0.01322,0.00195,15,1135,27,13813,3.03632926062684e-10,"LOC105258641, LOC112637116, LOC112637117, LOC112637856, LOC112637944, LOC112638214, LOC112638216, LOC112638268, LOC112638322, LOC112638480, LOC112638810, LOC112638940, LOC112638946, LOC112639875, LOC112639960"
"5","GO:0003887","DNA-directed DNA polymerase activity","over",3.14170448381163e-08,0.01322,0.00232,15,1135,32,13813,6.46821511372983e-09,"LOC105258641, LOC112637116, LOC112637117, LOC112637856, LOC112637944, LOC112638214, LOC112638216, LOC112638268, LOC112638322, LOC112638480, LOC112638810, LOC112638940, LOC112638946, LOC112639875, LOC112639960"
"6","GO:0004222","metalloendopeptidase activity","over",3.11507971260357e-06,0.01762,0.00528,20,1135,73,13813,8.24579923924474e-07,"LOC105255868, LOC112637426, LOC112637712, LOC112637852, LOC112637860, LOC112637926, LOC112637937, LOC112638031, LOC112638167, LOC112638360, LOC112638384, LOC112638467, LOC112638481, LOC112638564, LOC112638709, LOC112638781, LOC112638944, LOC112639052, LOC112639153, LOC112639796"
"7","GO:0006260","DNA replication","over",6.06842614390481e-06,0.01322,0.00333,15,1135,46,13813,1.78483121879553e-06,"LOC105258641, LOC112637116, LOC112637117, LOC112637856, LOC112637944, LOC112638214, LOC112638216, LOC112638268, LOC112638322, LOC112638480, LOC112638810, LOC112638940, LOC112638946, LOC112639875, LOC112639960"
"8","GO:0000723","telomere maintenance","over",3.54309272301155e-05,0.00705,0.00116,8,1135,16,13813,1.32257607258595e-05,"LOC112638261, LOC112638327, LOC112638371, LOC112638477, LOC112639104, LOC112639131, LOC112639220, LOC112639917"
"9","GO:0004190","aspartic-type endopeptidase activity","over",0.000219282505318343,0.01498,0.00557,17,1135,77,13813,9.67422817580927e-05,"LOC105247753, LOC105248149, LOC105248997, LOC105255172, LOC105256040, LOC105257919, LOC105258678, LOC112637054, LOC112637953, LOC112637958, LOC112638139, LOC112638152, LOC112638666, LOC112639245, LOC112639467, LOC112639474, LOC112639479"
"10","GO:0003678","DNA helicase activity","over",0.000290185607014836,0.00705,0.00152,8,1135,21,13813,0.000136557932712864,"LOC112638261, LOC112638327, LOC112638371, LOC112638477, LOC112639104, LOC112639131, LOC112639220, LOC112639917"
