"","GO","GO_desc","over_under","adj_pVal","sam_freq","back_freq","n_GO_DEG","n_DEG","n_GO","n_all_genes","pVal","gene_name"
"1","GO:0005515","protein binding","over",4.91428938117459e-20,0.16364,0.08986,225,1375,902,10038,7.6785771580853e-22,"LOC105247832, LOC105247921, LOC105247944, LOC105247975, LOC105248025, LOC105248104, LOC105248107, LOC105248123, LOC105248152, LOC105248156, LOC105248202, LOC105248250, LOC105248260, LOC105248275, LOC105248448, LOC105248466, LOC105248481, LOC105248520, LOC105248571, LOC105248653, LOC105248678, LOC105248694, LOC105248722, LOC105248790, LOC105248853, LOC105248855, LOC105248879, LOC105248899, LOC105248960, LOC105248969, LOC105248988, LOC105249038, LOC105249041, LOC105249062, LOC105249096, LOC105249298, LOC105249312, LOC105249329, LOC105249466, LOC105249519, LOC105249548, LOC105249571, LOC105249703, LOC105249744, LOC105249746, LOC105249757, LOC105249771, LOC105249778, LOC105249831, LOC105249868, LOC105249925, LOC105250067, LOC105250068, LOC105250086, LOC105250149, LOC105250190, LOC105250310, LOC105250575, LOC105250596, LOC105250602, LOC105250705, LOC105250712, LOC105250800, LOC105250825, LOC105250898, LOC105250904, LOC105250932, LOC105251017, LOC105251029, LOC105251046, LOC105251103, LOC105251124, LOC105251133, LOC105251178, LOC105251214, LOC105251243, LOC105251256, LOC105251286, LOC105251352, LOC105251363, LOC105251364, LOC105251387, LOC105251433, LOC105251499, LOC105251588, LOC105251709, LOC105251771, LOC105251801, LOC105251827, LOC105251943, LOC105251961, LOC105252055, LOC105252079, LOC105252152, LOC105252201, LOC105252243, LOC105252288, LOC105252384, LOC105252395, LOC105252530, LOC105252560, LOC105252594, LOC105252696, LOC105252765, LOC105252838, LOC105252926, LOC105252953, LOC105252989, LOC105253024, LOC105253065, LOC105253084, LOC105253105, LOC105253117, LOC105253134, LOC105253169, LOC105253178, LOC105253207, LOC105253287, LOC105253306, LOC105253321, LOC105253348, LOC105253438, LOC105253442, LOC105253484, LOC105253569, LOC105253616, LOC105253624, LOC105253679, LOC105253899, LOC105253960, LOC105253989, LOC105254024, LOC105254140, LOC105254227, LOC105254324, LOC105254376, LOC105254472, LOC105254526, LOC105254580, LOC105254683, LOC105254794, LOC105254862, LOC105254866, LOC105254872, LOC105254975, LOC105254991, LOC105255027, LOC105255039, LOC105255066, LOC105255278, LOC105255291, LOC105255336, LOC105255356, LOC105255382, LOC105255415, LOC105255453, LOC105255481, LOC105255597, LOC105255611, LOC105255718, LOC105255864, LOC105255897, LOC105255900, LOC105256003, LOC105256171, LOC105256236, LOC105256241, LOC105256480, LOC105256547, LOC105256774, LOC105256784, LOC105256906, LOC105256945, LOC105256978, LOC105256989, LOC105257000, LOC105257017, LOC105257066, LOC105257150, LOC105257201, LOC105257219, LOC105257224, LOC105257372, LOC105257393, LOC105257440, LOC105257462, LOC105257490, LOC105257554, LOC105257555, LOC105257566, LOC105257585, LOC105257641, LOC105257642, LOC105257643, LOC105257677, LOC105257878, LOC105257937, LOC105258058, LOC105258100, LOC105258105, LOC105258172, LOC105258190, LOC105258198, LOC105258237, LOC105258247, LOC105258293, LOC105258317, LOC105258335, LOC105258356, LOC105258409, LOC105258434, LOC105258442, LOC105258764, LOC105258770, LOC105258861, LOC105258978, LOC105259055, LOC105259067, LOC105259084, LOC105259201, LOC105259214, LOC105259426, LOC105259546, LOC105259562, LOC105259585"
"2","GO:0006355","regulation of transcription, DNA-templated","over",4.66187353110259e-10,0.04436,0.01883,61,1375,189,10038,2.18525321770434e-11,"LOC105248542, LOC105249424, LOC105249476, LOC105249584, LOC105249975, LOC105250091, LOC105250098, LOC105250271, LOC105250423, LOC105251008, LOC105251273, LOC105251313, LOC105251450, LOC105251698, LOC105251775, LOC105251812, LOC105251835, LOC105251908, LOC105252012, LOC105252033, LOC105252077, LOC105252184, LOC105253101, LOC105253226, LOC105253292, LOC105253476, LOC105253676, LOC105254343, LOC105254437, LOC105254440, LOC105254580, LOC105254638, LOC105254664, LOC105254701, LOC105254866, LOC105255066, LOC105255642, LOC105256254, LOC105256294, LOC105256333, LOC105256351, LOC105256454, LOC105256618, LOC105256692, LOC105256805, LOC105256840, LOC105256957, LOC105256986, LOC105257292, LOC105257389, LOC105257703, LOC105257905, LOC105258033, LOC105258105, LOC105258243, LOC105258783, LOC105258861, LOC105259037, LOC105259059, LOC105259207, LOC105259503"
"3","GO:0003676","nucleic acid binding","over",2.71086532595087e-09,0.06691,0.03527,92,1375,354,10038,1.69429082871929e-10,"LOC105248202, LOC105248606, LOC105248626, LOC105248634, LOC105248661, LOC105248705, LOC105248801, LOC105249020, LOC105249709, LOC105249771, LOC105249800, LOC105249803, LOC105249868, LOC105250018, LOC105250073, LOC105250246, LOC105250250, LOC105250434, LOC105250575, LOC105250718, LOC105250859, LOC105250954, LOC105250978, LOC105251079, LOC105251286, LOC105251288, LOC105251576, LOC105251771, LOC105251790, LOC105251800, LOC105251856, LOC105251918, LOC105251920, LOC105251927, LOC105251965, LOC105252047, LOC105252092, LOC105252111, LOC105252121, LOC105252289, LOC105252463, LOC105252480, LOC105252646, LOC105252648, LOC105252745, LOC105252773, LOC105253048, LOC105253257, LOC105253610, LOC105253647, LOC105253659, LOC105253806, LOC105254154, LOC105254391, LOC105254707, LOC105254902, LOC105255033, LOC105255083, LOC105255092, LOC105255272, LOC105255442, LOC105255759, LOC105255871, LOC105255949, LOC105256098, LOC105256427, LOC105256444, LOC105256612, LOC105256617, LOC105256683, LOC105256729, LOC105256774, LOC105256844, LOC105257061, LOC105257111, LOC105257202, LOC105257219, LOC105257417, LOC105257435, LOC105257613, LOC105257957, LOC105258190, LOC105258198, LOC105258258, LOC105258313, LOC105258656, LOC105258769, LOC105259157, LOC105259164, LOC105259208, LOC112638423, LOC112639634"
"4","GO:0035556","intracellular signal transduction","over",5.71931354745106e-08,0.01745,0.00498,24,1375,50,10038,4.46821370894614e-09,"LOC105247922, LOC105249778, LOC105250114, LOC105250130, LOC105250926, LOC105251282, LOC105251353, LOC105252524, LOC105252927, LOC105253013, LOC105253207, LOC105253402, LOC105254872, LOC105254874, LOC105255087, LOC105256106, LOC105256184, LOC105256501, LOC105257098, LOC105257550, LOC105258159, LOC105258714, LOC105258764, LOC105258860"
"5","GO:0003700","DNA-binding transcription factor activity","over",3.22999991844989e-07,0.02691,0.01076,37,1375,108,10038,3.02812492354677e-08,"LOC105248356, LOC105248542, LOC105249476, LOC105249975, LOC105250091, LOC105250915, LOC105251008, LOC105251273, LOC105251313, LOC105251450, LOC105251567, LOC105251835, LOC105252184, LOC105253226, LOC105253292, LOC105253476, LOC105253676, LOC105254343, LOC105254638, LOC105254701, LOC105255055, LOC105255642, LOC105255830, LOC105256254, LOC105256333, LOC105256618, LOC105256692, LOC105256805, LOC105256986, LOC105257292, LOC105258033, LOC105258243, LOC105258783, LOC105258861, LOC105259037, LOC105259059, LOC105259503"
"6","GO:0007165","signal transduction","over",9.92124010971416e-07,0.02109,0.00777,29,1375,78,10038,1.24015501371427e-07,"LOC105248612, LOC105248632, LOC105248736, LOC105249828, LOC105250327, LOC105250573, LOC105251133, LOC105251269, LOC105251709, LOC105252481, LOC105252719, LOC105252838, LOC105253105, LOC105253112, LOC105253569, LOC105254975, LOC105254981, LOC105255336, LOC105255415, LOC105255760, LOC105255840, LOC105255999, LOC105256609, LOC105256745, LOC105256887, LOC105257128, LOC105257150, LOC105258490, LOC105258770"
"7","GO:0006468","protein phosphorylation","over",6.84472425120663e-06,0.04582,0.0256,63,1375,257,10038,9.62539347825932e-07,"LOC105247832, LOC105248025, LOC105248090, LOC105248306, LOC105248529, LOC105248583, LOC105249243, LOC105249285, LOC105249432, LOC105249459, LOC105249574, LOC105249671, LOC105249778, LOC105249947, LOC105250010, LOC105250114, LOC105250130, LOC105250141, LOC105250290, LOC105250867, LOC105251108, LOC105251255, LOC105251342, LOC105251500, LOC105252079, LOC105252140, LOC105252524, LOC105252678, LOC105252719, LOC105252842, LOC105252927, LOC105253114, LOC105253138, LOC105253178, LOC105253398, LOC105253402, LOC105253616, LOC105253932, LOC105254017, LOC105254223, LOC105254289, LOC105255013, LOC105255087, LOC105255207, LOC105255597, LOC105255635, LOC105255637, LOC105255902, LOC105255940, LOC105256068, LOC105256106, LOC105256392, LOC105256501, LOC105256551, LOC105256569, LOC105256881, LOC105257917, LOC105258109, LOC105258110, LOC105258630, LOC105258655, LOC105259214, LOC105259402"
"8","GO:0043565","sequence-specific DNA binding","over",1.27535951535879e-05,0.01455,0.00488,20,1375,49,10038,1.99274924274811e-06,"LOC105248356, LOC105248542, LOC105249476, LOC105249975, LOC105250091, LOC105251008, LOC105251835, LOC105252184, LOC105253292, LOC105253476, LOC105253676, LOC105254701, LOC105256333, LOC105256692, LOC105256805, LOC105256840, LOC105256986, LOC105258243, LOC105258861, LOC105259059"
"9","GO:0007186","G protein-coupled receptor signaling pathway","over",3.18055091730535e-05,0.02109,0.00917,29,1375,92,10038,5.46657188911858e-06,"LOC105248296, LOC105248348, LOC105249160, LOC105249479, LOC105249574, LOC105251353, LOC105251377, LOC105252106, LOC105252833, LOC105252917, LOC105253261, LOC105253347, LOC105253861, LOC105254229, LOC105254705, LOC105255061, LOC105255386, LOC105255818, LOC105255859, LOC105256235, LOC105256251, LOC105257114, LOC105257836, LOC105258698, LOC105258700, LOC105258716, LOC105258758, LOC105258954, LOC105259283"
"10","GO:0008270","zinc ion binding","over",7.69375667286185e-05,0.03491,0.01943,48,1375,195,10038,1.4425793761616e-05,"LOC105247958, LOC105248542, LOC105249476, LOC105249831, LOC105250091, LOC105250898, LOC105251008, LOC105251288, LOC105251387, LOC105251450, LOC105252099, LOC105252121, LOC105253369, LOC105253476, LOC105253624, LOC105253676, LOC105253758, LOC105253773, LOC105253806, LOC105254429, LOC105254701, LOC105255066, LOC105255949, LOC105256098, LOC105256179, LOC105256570, LOC105256692, LOC105256766, LOC105256805, LOC105256840, LOC105256844, LOC105257043, LOC105257061, LOC105257124, LOC105257369, LOC105257473, LOC105257495, LOC105257898, LOC105258243, LOC105258247, LOC105258579, LOC105258876, LOC105259059, LOC105259084, LOC105259157, LOC105259208, LOC105259538, LOC112638423"
