"","GO","GO_desc","over_under","adj_pVal","sam_freq","back_freq","n_GO_DEG","n_DEG","n_GO","n_all_genes","pVal","gene_name"
"1","GO:0006506","GPI anchor biosynthetic process","over",0.0199729955851509,0.0066,0.00159,6,909,16,10038,0.00169299723325141,"LOC105249650, LOC105250468, LOC105252368, LOC105252551, LOC105254331, LOC105258984"
"2","GO:0016021","integral component of membrane","over",0.0672334788083126,0.05281,0.04134,48,909,415,10038,0.0134466957616625,"LOC105247923, LOC105248323, LOC105248581, LOC105248615, LOC105248758, LOC105248807, LOC105249358, LOC105249686, LOC105249833, LOC105250023, LOC105250103, LOC105250802, LOC105251696, LOC105251863, LOC105251984, LOC105252157, LOC105252466, LOC105252622, LOC105252984, LOC105253002, LOC105253106, LOC105253225, LOC105253243, LOC105253338, LOC105253550, LOC105253978, LOC105254148, LOC105254331, LOC105254337, LOC105254679, LOC105254752, LOC105254808, LOC105254964, LOC105255275, LOC105257575, LOC105257865, LOC105257916, LOC105258254, LOC105258541, LOC105258616, LOC105258745, LOC105258984, LOC105259020, LOC105259049, LOC105259260, LOC105259305, LOC105259453, LOC105259550"
"3","GO:0006281","DNA repair","over",0.0735680805216196,0.0088,0.00398,8,909,40,10038,0.0165528181173644,"LOC105248080, LOC105250307, LOC105252694, LOC105253603, LOC105253931, LOC105254737, LOC105258539, LOC112637518"
"4","no_annot",NA,"over",0.0910639307946132,0.41034,0.40018,373,909,4017,10038,0.0227659826986533,NA
"5","GO:0003676","nucleic acid binding","over",0.102532377873605,0.0429,0.03527,39,909,354,10038,0.0307597133620816,"LOC105247809, LOC105247839, LOC105248861, LOC105248963, LOC105249141, LOC105250011, LOC105250208, LOC105250434, LOC105250475, LOC105250527, LOC105250692, LOC105250734, LOC105251568, LOC105251918, LOC105251962, LOC105252043, LOC105252347, LOC105252625, LOC105252871, LOC105252905, LOC105252930, LOC105252974, LOC105253908, LOC105253912, LOC105254042, LOC105254117, LOC105254779, LOC105254790, LOC105255001, LOC105255622, LOC105255714, LOC105255725, LOC105256239, LOC105256516, LOC105257062, LOC105257951, LOC105257953, LOC105259424, LOC109609717"
"6","GO:0005524","ATP binding","over",0.144582462097703,0.05171,0.04931,47,909,495,10038,0.059030213081369,"LOC105248112, LOC105248293, LOC105248861, LOC105249022, LOC105249134, LOC105249227, LOC105249672, LOC105250186, LOC105250208, LOC105250500, LOC105250700, LOC105250707, LOC105251409, LOC105251581, LOC105251684, LOC105252347, LOC105252589, LOC105252622, LOC105252760, LOC105252871, LOC105252930, LOC105252942, LOC105253099, LOC105253225, LOC105253446, LOC105253512, LOC105253591, LOC105253742, LOC105253957, LOC105254048, LOC105254117, LOC105254679, LOC105254779, LOC105255492, LOC105255559, LOC105255622, LOC105256631, LOC105256733, LOC105257290, LOC105257414, LOC105257953, LOC105258143, LOC105258539, LOC105258670, LOC105258849, LOC105259098, LOC112637518"
"7","GO:0008168","methyltransferase activity","over",0.159892685802374,0.0055,0.00319,5,909,32,10038,0.0945204087404953,"LOC105250764, LOC105256646, LOC105256771, LOC105256853, LOC105258017"
"8","GO:0016192","vesicle-mediated transport","over",0.159892685802374,0.0055,0.00329,5,909,33,10038,0.101334617414364,"LOC105249994, LOC105252157, LOC105255786, LOC105258541, LOC105258550"
"9","GO:0016787","hydrolase activity","over",0.167998131350425,0.0066,0.00498,6,909,50,10038,0.134777699351979,"LOC105250092, LOC105252368, LOC105253874, LOC105256419, LOC105257204, LOC105258337"
"10","GO:0005509","calcium ion binding","over",0.167998131350425,0.0099,0.00966,9,909,97,10038,0.138598458364101,"LOC105249012, LOC105251161, LOC105251533, LOC105252913, LOC105254249, LOC105255264, LOC105258077, LOC105258128, LOC109610481"
