amel,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
NP_001010975.1,XP_011268522.1,0,591,0,591
NP_001011562.1,XP_025267946.1,6.00E-25,91.7,1.00E-25,93.6
NP_001011563.1,XP_011251529.2,0,790,0,822
NP_001011563.1,XP_011259279.2,0,761,0,761
NP_001011565.1,XP_011264281.1,0,934,0,969
NP_001011565.1,XP_025271041.1,0,934,0,969
NP_001011565.1,XP_025271042.1,0,934,0,969
NP_001011566.1,XP_011265007.1,0,621,0,613
NP_001011567.1,XP_011254775.1,0,714,0,715
NP_001011567.1,XP_025262456.1,0,714,0,715
NP_001011570.1,XP_011259751.1,9.00E-91,265,1.00E-90,265
NP_001011571.1,XP_011258060.1,0,528,0,515
NP_001011571.1,XP_019883432.1,0,528,0,515
NP_001011571.1,XP_019883433.1,0,528,0,515
NP_001011571.1,XP_019883434.1,0,528,0,515
NP_001011571.1,XP_019883435.1,0,528,0,515
NP_001011571.1,XP_025266159.1,0,528,0,515
NP_001011571.1,XP_025266160.1,0,528,0,515
NP_001011571.1,XP_025266161.1,0,528,0,515
NP_001011572.1,XP_011264740.1,0,1014,0,1014
NP_001011573.1,XP_011268215.1,0,1631,0,1632
NP_001011573.1,XP_011268216.1,0,1631,0,1632
NP_001011574.1,XP_011255282.1,0,699,0,721
NP_001011575.1,XP_011255573.1,0,945,0,945
NP_001011576.1,XP_011258790.1,9.00E-87,270,7.00E-89,276
NP_001011578.1,XP_011261399.1,0,652,0,658
NP_001011583.1,XP_011255580.1,3.00E-40,134,3.00E-40,134
NP_001011583.1,XP_011259996.1,2.00E-40,134,2.00E-40,134
NP_001011586.1,XP_011251164.2,0,771,0,771
NP_001011586.1,XP_011251165.2,0,749,0,749
NP_001011587.1,XP_011255329.1,6.00E-88,256,7.00E-88,256
NP_001011588.1,XP_025262643.1,9.00E-32,113,1.00E-31,113
NP_001011590.1,XP_011251750.1,2.00E-47,153,2.00E-47,153
NP_001011591.1,XP_025269029.1,3.00E-07,47,4.00E-07,47
NP_001011591.1,XP_025269030.1,3.00E-07,47,4.00E-07,47
NP_001011592.1,XP_011267964.1,3.00E-80,244,3.00E-87,262
NP_001011593.1,XP_025262640.1,2.00E-18,78.2,3.00E-15,69.7
NP_001011594.1,XP_011265831.1,0,714,0,719
NP_001011594.1,XP_025264756.1,0,714,0,719
NP_001011594.1,XP_025264757.1,0,714,0,719
NP_001011595.1,XP_011250629.1,0,722,0,722
NP_001011595.1,XP_011250630.1,0,730,0,730
NP_001011596.1,XP_011264657.1,0,1477,0,1469
NP_001011596.1,XP_011264658.1,0,1472,0,1464
NP_001011596.1,XP_011264661.1,0,1454,0,1444
NP_001011597.1,XP_025265329.1,0,836,0,836
NP_001011597.1,XP_025265330.1,0,836,0,836
NP_001011598.1,XP_011263078.2,0,692,0,686
NP_001011598.1,XP_019884420.2,0,699,0,690
NP_001011598.1,XP_025263304.1,0,692,0,686
NP_001011600.1,XP_011255340.2,0,699,0,699
NP_001011600.1,XP_025266231.1,0,683,0,683
NP_001011602.1,XP_011266697.1,0,1079,0,1082
NP_001011602.1,XP_011266698.1,0,1068,0,1071
NP_001011602.1,XP_025270050.1,0,1072,0,1076
NP_001011602.1,XP_025270056.1,0,1052,0,1058
NP_001011603.1,XP_025262733.1,0,671,0,643
NP_001011603.1,XP_025262735.1,0,671,0,643
NP_001011604.2,XP_011258954.1,4.00E-150,420,4.00E-150,420
NP_001011605.1,XP_011269464.1,0,676,0,652
NP_001011606.1,XP_011267759.1,0,567,0,587
NP_001011608.1,XP_011253559.1,0,625,0,612
NP_001011608.1,XP_011253560.1,0,625,0,612
NP_001011614.1,XP_011265879.2,9.00E-48,157,1.00E-47,157
NP_001011616.2,XP_025262447.1,2.00E-10,54.3,2.00E-10,54.3
NP_001011619.1,XP_011255949.1,1.00E-157,452,1.00E-157,452
NP_001011621.1,XP_025265961.1,0,982,0,989
NP_001011623.1,XP_025269925.1,0,1640,0,1673
NP_001011624.1,XP_025266613.1,0,1582,0,1559
NP_001011625.1,XP_011251484.1,0,1001,0,1006
NP_001011625.1,XP_011251485.1,0,1001,0,1006
NP_001011625.1,XP_011251486.1,0,1001,0,1006
NP_001011626.2,XP_011261977.1,5.00E-86,250,6.00E-86,250
NP_001011627.1,XP_011260780.1,0,1159,0,1159
NP_001011628.1,XP_011257367.1,0,949,0,949
NP_001011628.1,XP_011257368.1,0,949,0,949
NP_001011628.1,XP_011257369.1,0,949,0,949
NP_001011629.1,XP_011263061.2,0,1566,0,1801
NP_001011629.1,XP_011263062.2,0,1566,0,1801
NP_001011630.1,XP_011265212.1,2.00E-75,226,3.00E-75,226
NP_001011630.1,XP_011265213.1,7.00E-72,215,8.00E-72,215
NP_001011631.1,XP_011265610.1,0,931,0,903
NP_001011631.1,XP_011265612.1,0,931,0,903
NP_001011631.1,XP_011265613.1,0,931,0,903
NP_001011631.1,XP_011265614.1,0,926,0,898
NP_001011631.1,XP_011265615.1,0,935,0,907
NP_001011632.1,XP_011261437.2,0,1203,0,1203
NP_001011634.1,XP_011265132.1,0,788,0,788
NP_001011634.1,XP_011265133.1,0,788,0,788
NP_001011634.1,XP_011265134.1,0,788,0,788
NP_001011634.1,XP_011265135.1,0,788,0,788
NP_001011634.1,XP_011265136.1,0,788,0,788
NP_001011634.1,XP_011265137.1,0,788,0,788
NP_001011634.1,XP_011265138.1,0,788,0,788
NP_001011634.1,XP_011265139.1,0,788,0,788
NP_001011634.1,XP_011265143.1,0,766,0,766
NP_001011635.1,XP_011268591.1,2.00E-166,477,1.00E-165,475
NP_001011635.1,XP_011268592.1,2.00E-166,477,1.00E-165,475
NP_001011636.1,XP_011258099.1,1.00E-18,78.2,2.00E-18,78.2
NP_001011637.1,XP_011257002.1,3.00E-84,264,2.00E-81,257
NP_001011638.1,XP_011259830.1,6.00E-28,100,5.00E-36,121
NP_001011639.2,XP_011258142.1,0,612,0,614
NP_001011640.1,XP_011266272.1,4.00E-104,306,4.00E-104,306
NP_001011640.1,XP_025268450.1,2.00E-99,294,2.00E-99,294
NP_001011641.1,XP_011255812.1,9.00E-111,323,2.00E-111,325
NP_001011643.1,XP_011262101.1,0,1120,0,1120
NP_001011643.1,XP_011262102.1,0,1120,0,1120
NP_001011644.1,XP_011258436.1,2.00E-125,365,2.00E-125,365
NP_001011650.1,XP_011261434.1,0,1120,0,1151
NP_001011652.1,XP_011261323.1,5.00E-82,242,6.00E-82,242
NP_001011653.2,XP_011265032.1,5.00E-93,270,6.00E-93,270
NP_001012633.1,XP_011253776.1,6.00E-123,360,7.00E-123,360
NP_001012645.1,XP_011267440.1,0,1436,0,1432
NP_001012980.1,XP_011254576.1,0,2089,0,2060
NP_001012981.1,XP_011262949.1,2.00E-12,60.5,3.00E-18,75.9
NP_001012981.1,XP_011262951.1,2.00E-12,60.5,3.00E-18,75.9
NP_001013024.1,XP_011269337.1,0,1870,0,1880
NP_001013024.1,XP_011269338.1,0,1875,0,1885
