cflo,dmel ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250435.1,NP_651004.1,0,687,0,691
XP_011250441.1,NP_651701.1,2.00E-155,447,2.00E-155,447
XP_011250441.1,NP_733295.1,3.00E-155,446,2.00E-155,446
XP_011250441.1,NP_733296.1,3.00E-155,446,2.00E-155,446
XP_011250441.1,NP_733297.1,3.00E-155,446,2.00E-155,446
XP_011250441.1,NP_733298.1,2.00E-155,447,2.00E-155,447
XP_011250444.1,NP_731873.1,4.00E-132,403,1.00E-129,396
XP_011250447.1,NP_651701.1,2.00E-155,447,2.00E-155,447
XP_011250447.1,NP_733295.1,3.00E-155,446,2.00E-155,446
XP_011250447.1,NP_733296.1,3.00E-155,446,2.00E-155,446
XP_011250447.1,NP_733297.1,3.00E-155,446,2.00E-155,446
XP_011250447.1,NP_733298.1,2.00E-155,447,2.00E-155,447
XP_011250450.1,NP_651701.1,2.00E-155,447,2.00E-155,447
XP_011250450.1,NP_733295.1,1.00E-155,447,1.00E-155,447
XP_011250450.1,NP_733296.1,1.00E-155,447,1.00E-155,447
XP_011250450.1,NP_733297.1,1.00E-155,447,1.00E-155,447
XP_011250450.1,NP_733298.1,1.00E-155,447,1.00E-155,447
XP_011250457.1,NP_650650.1,3.00E-31,110,3.00E-31,110
XP_011250465.1,NP_651717.1,1.00E-111,331,1.00E-111,331
XP_011250467.1,NP_001259087.1,1.00E-123,350,1.00E-123,350
XP_011250467.1,NP_524631.1,1.00E-123,350,1.00E-123,350
XP_011250474.1,NP_651237.1,0,807,0,807
XP_011250476.1,NP_001246916.1,1.00E-109,313,8.00E-110,313
XP_011250476.1,NP_524230.2,1.00E-109,313,8.00E-110,313
XP_011250479.1,NP_001014725.1,0,756,0,756
XP_011250479.1,NP_001014726.1,0,756,0,756
XP_011250479.1,NP_001262200.1,0,741,0,741
XP_011250479.1,NP_001284915.1,0,756,0,756
XP_011250479.1,NP_001287314.1,0,751,0,751
XP_011250479.1,NP_477091.1,0,751,0,751
XP_011250479.1,NP_511052.1,0,756,0,756
XP_011250479.1,NP_523625.1,0,755,0,755
XP_011250479.1,NP_523800.1,0,751,0,751
XP_011250479.1,NP_524210.1,0,741,0,741
XP_011250479.1,NP_524367.1,0,754,0,754
XP_011250479.1,NP_727048.1,0,756,0,756
XP_011250479.1,NP_731812.1,0,751,0,751
XP_011250481.1,NP_648586.2,0,820,0,822
XP_011250482.1,NP_648586.2,0,805,0,788
XP_011250488.1,NP_001163243.1,3.00E-27,98.2,3.00E-27,98.2
XP_011250488.1,NP_001286692.1,3.00E-27,98.2,3.00E-27,98.2
XP_011250489.1,NP_001286691.1,6.00E-75,228,5.00E-75,228
XP_011250489.1,NP_726105.1,6.00E-75,228,5.00E-75,228
XP_011250490.1,NP_001262561.1,4.00E-40,142,5.00E-45,155
XP_011250490.1,NP_476951.1,4.00E-40,142,5.00E-45,155
XP_011250495.1,NP_725096.2,1.00E-65,218,8.00E-66,218
XP_011250495.1,NP_788328.1,5.00E-63,213,3.00E-63,213
XP_011250498.1,NP_536793.1,3.00E-128,363,3.00E-128,363
XP_011250499.1,NP_536793.1,3.00E-128,363,3.00E-128,363
XP_011250504.1,NP_001097126.1,8.00E-141,425,9.00E-143,430
XP_011250504.1,NP_001285758.1,4.00E-141,424,5.00E-143,429
XP_011250504.1,NP_476887.2,8.00E-141,425,1.00E-142,430
XP_011250504.1,NP_723413.1,1.00E-140,425,1.00E-142,431
XP_011250504.1,NP_723414.2,8.00E-141,425,1.00E-142,430
XP_011250512.1,NP_001097126.1,2.00E-143,431,7.00E-145,435
XP_011250512.1,NP_001285758.1,1.00E-143,430,2.00E-145,435
XP_011250512.1,NP_476887.2,2.00E-143,431,6.00E-145,435
XP_011250512.1,NP_723413.1,5.00E-143,431,7.00E-145,436
XP_011250512.1,NP_723414.2,2.00E-143,431,6.00E-145,435
XP_011250520.1,NP_001097126.1,7.00E-141,425,1.00E-142,430
XP_011250520.1,NP_001285758.1,4.00E-141,424,4.00E-143,429
XP_011250520.1,NP_476887.2,5.00E-141,425,1.00E-142,429
XP_011250520.1,NP_723413.1,1.00E-140,425,1.00E-142,430
XP_011250520.1,NP_723414.2,5.00E-141,425,1.00E-142,429
XP_011250523.1,NP_001286260.1,3.00E-38,136,1.00E-39,140
XP_011250523.1,NP_610541.1,3.00E-38,136,1.00E-39,140
XP_011250524.1,NP_648511.2,4.00E-62,198,3.00E-62,198
XP_011250525.1,NP_569898.1,0,556,0,555
XP_011250527.1,NP_001097126.1,4.00E-141,424,7.00E-143,429
XP_011250527.1,NP_001285758.1,2.00E-141,424,3.00E-143,429
XP_011250527.1,NP_476887.2,4.00E-141,424,7.00E-143,429
XP_011250527.1,NP_723413.1,7.00E-141,424,9.00E-143,430
XP_011250527.1,NP_723414.2,4.00E-141,424,7.00E-143,429
XP_011250528.1,NP_651136.1,1.00E-70,245,3.00E-79,269
XP_011250537.1,NP_609675.2,0,2303,0,2293
XP_011250538.1,NP_001259406.1,1.00E-31,117,1.00E-31,117
XP_011250538.1,NP_001285083.1,1.00E-31,117,1.00E-31,117
XP_011250538.1,NP_572624.1,1.00E-31,117,1.00E-31,117
XP_011250545.1,NP_001163646.1,2.00E-68,219,2.00E-68,219
XP_011250545.1,NP_001287389.1,1.00E-68,219,2.00E-68,219
XP_011250545.1,NP_650715.3,2.00E-68,219,2.00E-68,219
XP_011250546.1,NP_001303459.1,2.00E-82,250,2.00E-82,250
XP_011250546.1,NP_649472.1,2.00E-82,250,2.00E-82,250
XP_011250547.1,NP_001247184.1,0,1015,0,1009
XP_011250547.1,NP_650752.2,0,1015,0,1009
XP_011250548.1,NP_001247184.1,0,1018,0,1012
XP_011250548.1,NP_650752.2,0,1018,0,1012
XP_011250555.1,NP_524192.2,1.00E-66,226,5.00E-67,226
XP_011250572.1,NP_001036566.4,0,760,0,808
XP_011250572.1,NP_001246471.1,0,764,0,813
XP_011250572.1,NP_726262.2,0,764,0,806
XP_011250573.1,NP_001036566.4,0,761,0,813
XP_011250573.1,NP_001246471.1,0,765,0,816
XP_011250573.1,NP_726262.2,0,764,0,810
XP_011250575.1,NP_001036566.4,0,814,0,809
XP_011250575.1,NP_001246471.1,0,818,0,814
XP_011250575.1,NP_726262.2,0,813,0,807
XP_011250576.1,NP_001246472.1,0,724,0,771
XP_011250576.1,NP_611729.2,0,724,0,765
XP_011250577.1,NP_001036566.4,0,760,0,807
XP_011250577.1,NP_001246471.1,0,764,0,811
XP_011250577.1,NP_726262.2,0,764,0,805
XP_011250578.1,NP_001036566.4,0,760,0,808
XP_011250578.1,NP_001246471.1,0,764,0,812
XP_011250578.1,NP_726262.2,0,764,0,805
XP_011250589.2,NP_001034012.2,1.00E-36,129,1.00E-36,129
XP_011250591.1,NP_732001.3,4.00E-149,424,2.00E-139,399
XP_011250591.1,NP_732002.1,4.00E-149,424,2.00E-139,399
XP_011250591.1,NP_732003.1,4.00E-149,424,2.00E-139,399
XP_011250591.1,NP_732004.1,4.00E-149,424,2.00E-139,399
XP_011250591.1,NP_732005.2,2.00E-147,427,2.00E-142,415
XP_011250591.1,NP_996217.1,5.00E-148,429,2.00E-144,421
XP_011250592.1,NP_732001.3,1.00E-152,432,1.00E-142,407
XP_011250592.1,NP_732002.1,1.00E-152,432,1.00E-142,407
XP_011250592.1,NP_732003.1,1.00E-152,432,1.00E-142,407
XP_011250592.1,NP_732004.1,1.00E-152,432,1.00E-142,407
XP_011250592.1,NP_732005.2,5.00E-151,436,1.00E-145,423
XP_011250592.1,NP_996217.1,9.00E-150,434,1.00E-146,426
XP_011250593.1,NP_001163619.1,4.00E-147,419,6.00E-137,392
XP_011250593.1,NP_996216.1,7.00E-152,431,2.00E-141,404
XP_011250594.1,NP_996216.1,2.00E-156,442,7.00E-146,415
XP_011250595.1,NP_732001.3,4.00E-157,444,2.00E-147,419
XP_011250595.1,NP_732002.1,4.00E-157,444,2.00E-147,419
XP_011250595.1,NP_732003.1,4.00E-157,444,2.00E-147,419
XP_011250595.1,NP_732004.1,4.00E-157,444,2.00E-147,419
XP_011250595.1,NP_732005.2,2.00E-154,445,4.00E-150,434
XP_011250595.1,NP_996217.1,1.00E-151,438,5.00E-149,432
XP_011250596.1,NP_001163619.1,2.00E-151,429,5.00E-141,402
XP_011250596.1,NP_001262591.1,7.00E-156,441,6.00E-146,415
XP_011250597.1,NP_001163619.1,4.00E-155,439,1.00E-144,412
XP_011250597.1,NP_001262591.1,4.00E-152,431,2.00E-142,406
XP_011250599.1,NP_001247120.1,5.00E-126,362,9.00E-126,361
XP_011250599.1,NP_001262590.1,1.00E-130,374,1.00E-130,374
XP_011250599.1,NP_524360.2,2.00E-131,376,5.00E-131,375
XP_011250600.1,NP_001247120.1,2.00E-129,370,3.00E-129,370
XP_011250600.1,NP_524360.2,2.00E-134,384,2.00E-134,383
XP_011250601.1,NP_524360.2,6.00E-139,395,1.00E-138,394
XP_011250605.1,NP_647901.1,0,609,0,610
XP_011250615.1,NP_524061.1,0,832,0,808
XP_011250616.1,NP_524061.1,0,832,0,808
XP_011250618.1,NP_524061.1,0,831,0,814
XP_011250619.1,NP_524061.1,0,843,0,819
XP_011250620.1,NP_524061.1,0,829,0,819
XP_011250622.1,NP_611177.1,5.00E-132,386,4.00E-132,386
XP_011250625.1,NP_001262564.1,1.00E-172,509,4.00E-173,510
XP_011250625.1,NP_001303507.1,1.00E-172,509,4.00E-173,510
XP_011250625.1,NP_650348.1,1.00E-172,509,4.00E-173,510
XP_011250627.1,NP_001162737.1,0,529,0,528
XP_011250627.1,NP_001285163.1,0,529,0,528
XP_011250627.1,NP_001285164.1,0,529,0,528
XP_011250627.1,NP_511140.1,0,529,0,528
XP_011250627.1,NP_727631.1,0,529,0,528
XP_011250627.1,NP_727632.1,0,529,0,528
XP_011250628.2,NP_001162737.1,0,530,0,530
XP_011250628.2,NP_001285163.1,0,530,0,530
XP_011250628.2,NP_001285164.1,0,530,0,530
XP_011250628.2,NP_511140.1,0,530,0,530
XP_011250628.2,NP_727631.1,0,530,0,530
XP_011250628.2,NP_727632.1,0,530,0,530
XP_011250629.1,NP_001163607.1,5.00E-168,484,6.00E-169,487
XP_011250629.1,NP_001247092.1,4.00E-170,491,5.00E-171,493
XP_011250629.1,NP_001262563.1,2.00E-169,491,1.00E-170,494
XP_011250629.1,NP_001303454.1,3.00E-169,489,4.00E-170,492
XP_011250629.1,NP_477007.2,1.00E-170,492,8.00E-172,495
XP_011250630.1,NP_001163607.1,4.00E-168,484,1.00E-169,488
XP_011250630.1,NP_001247092.1,2.00E-170,491,7.00E-172,495
XP_011250630.1,NP_001262563.1,6.00E-170,492,5.00E-171,494
XP_011250630.1,NP_001303454.1,1.00E-169,490,9.00E-171,493
XP_011250630.1,NP_477007.2,4.00E-171,493,3.00E-172,496
XP_011250631.1,NP_001334706.1,7.00E-72,244,4.00E-81,269
XP_011250631.1,NP_651774.2,2.00E-72,245,3.00E-81,268
XP_011250635.1,NP_001189267.1,0,549,0,556
XP_011250635.1,NP_651079.2,7.00E-180,545,0,551
XP_011250638.1,NP_001260246.1,5.00E-82,264,4.00E-82,264
