mono,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_012521284.1,XP_011267631.1,6.00E-32,109,5.00E-32,109
XP_012521285.1,XP_011252503.1,0,764,0,792
XP_012521292.1,XP_011256021.2,0,1795,0,1744
XP_012521292.1,XP_011256023.2,0,1768,0,1717
XP_012521292.1,XP_011256025.2,0,1719,0,1681
XP_012521292.1,XP_011256027.2,0,1724,0,1678
XP_012521293.1,XP_011256021.2,0,1784,0,1734
XP_012521293.1,XP_011256023.2,0,1758,0,1706
XP_012521293.1,XP_011256025.2,0,1709,0,1670
XP_012521293.1,XP_011256027.2,0,1719,0,1677
XP_012521294.1,XP_011256021.2,0,1766,0,1718
XP_012521294.1,XP_011256023.2,0,1793,0,1743
XP_012521295.1,XP_011256021.2,0,1682,0,1663
XP_012521295.1,XP_011256024.2,0,1703,0,1685
XP_012521296.1,XP_011256021.2,0,1731,0,1684
XP_012521296.1,XP_011256025.2,0,1751,0,1703
XP_012521297.1,XP_011256026.2,0,1722,0,1650
XP_012521299.1,XP_011256021.2,0,1723,0,1696
XP_012521299.1,XP_011256023.2,0,1696,0,1671
XP_012521299.1,XP_011256027.2,0,1748,0,1719
XP_012521304.1,XP_011256019.1,0,861,0,861
XP_012521305.1,XP_011256019.1,0,832,0,832
XP_012521306.1,XP_011256018.1,1.00E-120,344,5.00E-120,342
XP_012521308.1,XP_025265825.1,3.00E-89,306,2.00E-90,309
XP_012521310.2,XP_011252345.1,0,518,0,517
XP_012521311.1,XP_025265897.1,2.00E-65,201,2.00E-65,201
XP_012521312.1,XP_011266758.1,0,2514,0,2543
XP_012521312.1,XP_011266759.1,0,2514,0,2543
XP_012521312.1,XP_011266760.1,0,2486,0,2515
XP_012521312.1,XP_011266761.1,0,2445,0,2474
XP_012521313.1,XP_011266758.1,0,2514,0,2543
XP_012521313.1,XP_011266759.1,0,2514,0,2543
XP_012521313.1,XP_011266760.1,0,2486,0,2515
XP_012521313.1,XP_011266761.1,0,2445,0,2474
XP_012521314.1,XP_011266758.1,0,2514,0,2543
XP_012521314.1,XP_011266759.1,0,2514,0,2543
XP_012521314.1,XP_011266760.1,0,2486,0,2515
XP_012521314.1,XP_011266761.1,0,2445,0,2474
XP_012521318.1,XP_011266763.1,0,1115,0,1109
XP_012521320.1,XP_011263972.1,0,3453,0,3420
XP_012521320.1,XP_011263973.1,0,3453,0,3420
XP_012521320.1,XP_011263976.1,0,3340,0,3339
XP_012521320.1,XP_025262090.1,0,3453,0,3420
XP_012521321.1,XP_011263972.1,0,3372,0,3310
XP_012521321.1,XP_011263973.1,0,3372,0,3310
XP_012521321.1,XP_011263976.1,0,3357,0,3326
XP_012521321.1,XP_025262090.1,0,3372,0,3310
XP_012521323.1,XP_011269609.1,0,1246,0,1237
XP_012521325.1,XP_025262135.1,0,778,0,778
XP_012521328.1,XP_011261660.1,0,530,0,530
XP_012521330.1,XP_011258587.1,0,2768,0,2784
XP_012521330.1,XP_011258589.1,0,2758,0,2774
XP_012521330.1,XP_011258590.1,0,2747,0,2763
XP_012521330.1,XP_011258591.1,0,2732,0,2749
XP_012521330.1,XP_011258592.1,0,2659,0,2676
XP_012521331.1,XP_011258587.1,0,2747,0,2763
XP_012521331.1,XP_011258589.1,0,2736,0,2753
XP_012521331.1,XP_011258590.1,0,2753,0,2770
XP_012521331.1,XP_011258591.1,0,2710,0,2729
XP_012521331.1,XP_011258592.1,0,2637,0,2653
XP_012521332.1,XP_011258587.1,0,2731,0,2747
XP_012521332.1,XP_011258589.1,0,2720,0,2737
XP_012521332.1,XP_011258590.1,0,2709,0,2728
XP_012521332.1,XP_011258591.1,0,2737,0,2756
XP_012521332.1,XP_011258592.1,0,2620,0,2638
XP_012521333.1,XP_011258587.1,0,2657,0,2674
XP_012521333.1,XP_011258589.1,0,2647,0,2664
XP_012521333.1,XP_011258590.1,0,2637,0,2655
XP_012521333.1,XP_011258591.1,0,2620,0,2639
XP_012521333.1,XP_011258592.1,0,2672,0,2690
XP_012521335.1,XP_025263879.1,0,813,0,801
XP_012521337.1,XP_011258598.1,0,602,0,596
XP_012521338.1,XP_011258597.1,0,695,0,688
XP_012521340.1,XP_011258595.1,4.00E-169,479,5.00E-162,461
XP_012521341.1,XP_011258595.1,4.00E-169,479,5.00E-162,461
XP_012521342.1,XP_011258593.1,1.00E-155,439,1.00E-155,439
XP_012521342.1,XP_025263792.1,1.00E-155,439,1.00E-155,439
XP_012521343.1,XP_011258593.1,1.00E-155,439,1.00E-155,439
XP_012521343.1,XP_025263792.1,1.00E-155,439,1.00E-155,439
XP_012521344.1,XP_011258593.1,1.00E-155,439,1.00E-155,439
XP_012521344.1,XP_025263792.1,1.00E-155,439,1.00E-155,439
XP_012521345.1,XP_011258593.1,1.00E-155,439,1.00E-155,439
XP_012521345.1,XP_025263792.1,1.00E-155,439,1.00E-155,439
XP_012521346.1,XP_011258596.1,3.00E-103,298,2.00E-103,298
XP_012521348.1,XP_025263785.1,0,881,0,873
XP_012521348.1,XP_025263786.1,0,871,0,862
XP_012521349.1,XP_025263785.1,0,871,0,862
XP_012521349.1,XP_025263786.1,0,877,0,868
XP_012521350.1,XP_011258376.1,0,574,0,574
XP_012521350.1,XP_011258377.1,0,574,0,574
XP_012521351.1,XP_019883528.1,0,1184,0,1184
XP_012521354.1,XP_011258383.1,9.00E-133,377,7.00E-133,377
XP_012521355.1,XP_011257450.2,3.00E-124,377,3.00E-129,389
XP_012521357.1,XP_011258600.1,0,522,0,522
XP_012521358.1,XP_011261659.1,7.00E-88,256,9.00E-82,240
XP_012521360.1,XP_011255892.1,0,1598,0,1638
XP_012521361.1,XP_011255892.1,0,1600,0,1638
XP_012521363.1,XP_011255887.1,0,877,0,877
XP_012521364.1,XP_011255891.1,2.00E-101,297,5.00E-108,313
XP_012521365.1,XP_011255888.1,2.00E-75,226,1.00E-75,226
XP_012521368.2,XP_011257446.1,0,550,0,563
XP_012521368.2,XP_011257447.1,0,537,0,551
