cflo,clonal ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250433.1,XP_011340187.1,8.00E-49,155,8.00E-49,155
XP_011250435.1,XP_011351675.1,0,1089,0,1089
XP_011250435.1,XP_019889946.1,0,1089,0,1089
XP_011250441.1,XP_011350401.1,0,738,0,738
XP_011250441.1,XP_011350411.1,0,739,0,739
XP_011250444.1,XP_011335107.1,0,763,0,748
XP_011250445.2,XP_011335329.2,0,755,0,771
XP_011250447.1,XP_011350401.1,0,738,0,738
XP_011250447.1,XP_011350411.1,0,739,0,739
XP_011250450.1,XP_011350401.1,0,739,0,739
XP_011250450.1,XP_011350411.1,0,748,0,748
XP_011250457.1,XP_011329915.1,4.00E-77,227,4.00E-77,227
XP_011250458.1,XP_026827894.1,0,3871,0,3850
XP_011250458.1,XP_026827895.1,0,3779,0,3758
XP_011250459.1,XP_026827894.1,0,3856,0,3836
XP_011250459.1,XP_026827895.1,0,3766,0,3744
XP_011250462.1,XP_026827896.1,0,3571,0,3550
XP_011250462.1,XP_026827897.1,0,3519,0,3486
XP_011250463.1,XP_026827896.1,0,3510,0,3500
XP_011250463.1,XP_026827897.1,0,3522,0,3501
XP_011250465.1,XP_011329928.1,0,537,0,537
XP_011250465.1,XP_026827685.1,0,539,0,539
XP_011250467.1,XP_011329361.1,2.00E-129,364,3.00E-129,364
XP_011250469.2,XP_011340971.2,0,4831,0,4871
XP_011250469.2,XP_011340972.2,0,4837,0,4876
XP_011250469.2,XP_011340973.2,0,4765,0,4804
XP_011250474.1,XP_026824098.1,0,1076,0,1076
XP_011250474.1,XP_026824099.1,0,1076,0,1076
XP_011250475.1,XP_011340962.2,0,568,0,541
XP_011250476.1,XP_011340965.1,1.00E-111,317,1.00E-111,317
XP_011250478.1,XP_011329358.1,0,1366,0,1360
XP_011250478.1,XP_011329359.1,0,1366,0,1360
XP_011250479.1,XP_011331114.1,0,784,0,784
XP_011250479.1,XP_011334490.1,0,758,0,758
XP_011250479.1,XP_011334617.2,0,752,0,752
XP_011250479.1,XP_011335819.1,0,756,0,756
XP_011250479.1,XP_011335820.1,0,756,0,756
XP_011250479.1,XP_019886119.2,0,752,0,752
XP_011250481.1,XP_011331154.1,0,1490,0,1490
XP_011250481.1,XP_011331155.1,0,1490,0,1490
XP_011250481.1,XP_011331156.1,0,1490,0,1490
XP_011250482.1,XP_011331152.1,0,1429,0,1408
XP_011250482.1,XP_011331153.1,0,1429,0,1408
XP_011250485.1,XP_011335792.1,8.00E-130,370,9.00E-130,370
XP_011250487.1,XP_011329358.1,0,1366,0,1360
XP_011250487.1,XP_011329359.1,0,1366,0,1360
XP_011250488.1,XP_011345081.1,5.00E-50,155,5.00E-50,155
XP_011250489.1,XP_011345080.1,4.00E-129,365,4.00E-129,365
XP_011250490.1,XP_011343533.1,1.00E-84,257,4.00E-89,269
XP_011250490.1,XP_011343534.1,1.00E-84,257,4.00E-89,269
XP_011250491.1,XP_011329358.1,0,1366,0,1360
XP_011250491.1,XP_011329359.1,0,1366,0,1360
XP_011250493.1,XP_011341115.1,0,530,0,530
XP_011250493.1,XP_011341116.1,0,530,0,530
XP_011250494.1,XP_011341115.1,0,523,0,523
XP_011250494.1,XP_011341116.1,0,523,0,523
XP_011250495.1,XP_026829321.1,0,705,0,705
XP_011250495.1,XP_026829322.1,0,705,0,705
XP_011250495.1,XP_026829325.1,0,705,0,705
XP_011250498.1,XP_011346955.1,7.00E-140,392,7.00E-140,392
XP_011250499.1,XP_011346955.1,7.00E-140,392,7.00E-140,392
XP_011250500.1,XP_019888984.1,1.00E-105,304,1.00E-105,304
XP_011250503.1,XP_011346956.1,2.00E-156,437,3.00E-156,437
XP_011250503.1,XP_011346957.1,2.00E-156,437,3.00E-156,437
XP_011250504.1,XP_011329366.1,0,645,0,645
XP_011250504.1,XP_011329367.1,0,645,0,645
XP_011250504.1,XP_011329368.1,0,645,0,645
XP_011250504.1,XP_011329369.1,0,634,0,634
XP_011250512.1,XP_011329366.1,0,635,0,635
XP_011250512.1,XP_011329367.1,0,635,0,635
XP_011250512.1,XP_011329368.1,0,635,0,635
XP_011250512.1,XP_011329369.1,0,638,0,638
XP_011250513.1,XP_011335949.2,0,813,0,842
XP_011250520.1,XP_011329370.1,0,609,0,609
XP_011250520.1,XP_011329371.1,0,608,0,608
XP_011250520.1,XP_026828610.1,0,608,0,608
XP_011250523.1,XP_011349640.1,3.00E-124,357,3.00E-119,343
XP_011250524.1,XP_011333904.1,1.00E-124,357,1.00E-124,357
XP_011250525.1,XP_011333893.1,0,1395,0,1387
XP_011250525.1,XP_019886547.1,0,1326,0,1317
XP_011250527.1,XP_011329370.1,0,607,0,607
XP_011250527.1,XP_011329371.1,0,613,0,613
XP_011250527.1,XP_026828610.1,0,613,0,613
XP_011250528.1,XP_011336195.2,0,1074,0,1075
XP_011250528.1,XP_011336196.2,0,1070,0,1070
XP_011250529.1,XP_019885924.1,0,929,0,952
XP_011250537.1,XP_026826846.1,0,3434,0,3434
XP_011250537.1,XP_026826847.1,0,3434,0,3434
XP_011250538.1,XP_011329365.1,2.00E-136,384,2.00E-136,384
XP_011250539.1,XP_011337856.1,0,571,0,541
XP_011250540.1,XP_011337856.1,0,576,0,546
XP_011250541.2,XP_011337853.2,0,511,0,511
XP_011250541.2,XP_011337854.2,0,510,0,510
XP_011250541.2,XP_019887381.2,0,525,0,525
XP_011250545.1,XP_011351383.1,6.00E-93,279,7.00E-93,279
XP_011250546.1,XP_011351384.1,4.00E-135,384,4.00E-135,384
XP_011250547.1,XP_011351378.2,0,4627,0,4602
XP_011250547.1,XP_011351379.2,0,4603,0,4582
XP_011250547.1,XP_011351380.2,0,4601,0,4584
XP_011250547.1,XP_011351381.2,0,4613,0,4605
XP_011250548.1,XP_011351378.2,0,4606,0,4585
XP_011250548.1,XP_011351379.2,0,4581,0,4564
XP_011250548.1,XP_011351380.2,0,4607,0,4592
XP_011250548.1,XP_011351381.2,0,4595,0,4587
XP_011250549.1,XP_011349888.1,1.00E-156,451,2.00E-168,481
XP_011250551.1,XP_011349888.1,1.00E-156,451,2.00E-168,481
XP_011250552.1,XP_011349888.1,3.00E-158,455,8.00E-168,479
XP_011250553.1,XP_011349886.1,0,681,0,681
XP_011250553.1,XP_011349887.1,0,681,0,681
XP_011250554.1,XP_011349886.1,0,679,0,679
XP_011250554.1,XP_011349887.1,0,679,0,679
XP_011250555.1,XP_011338315.1,0,573,0,587
XP_011250559.1,XP_011337983.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337984.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337985.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337986.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337987.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337989.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337990.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337991.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337992.1,0,523,6.00E-179,503
XP_011250559.1,XP_011337993.1,0,523,6.00E-179,503
XP_011250565.1,XP_011349889.1,9.00E-171,480,5.00E-171,481
XP_011250570.1,XP_011336079.1,0,635,0,635
XP_011250572.1,XP_026829278.1,0,1518,0,1530
XP_011250572.1,XP_026829279.1,0,1507,0,1520
XP_011250572.1,XP_026829280.1,0,1512,0,1523
XP_011250572.1,XP_026829281.1,0,1513,0,1523
XP_011250572.1,XP_026829282.1,0,1512,0,1524
XP_011250573.1,XP_026829278.1,0,1509,0,1520
XP_011250573.1,XP_026829279.1,0,1515,0,1525
XP_011250573.1,XP_026829280.1,0,1503,0,1513
XP_011250573.1,XP_026829281.1,0,1503,0,1513
XP_011250573.1,XP_026829282.1,0,1503,0,1513
XP_011250575.1,XP_026829278.1,0,1482,0,1493
XP_011250575.1,XP_026829279.1,0,1470,0,1482
XP_011250575.1,XP_026829280.1,0,1472,0,1486
XP_011250575.1,XP_026829281.1,0,1474,0,1487
XP_011250575.1,XP_026829282.1,0,1474,0,1486
XP_011250576.1,XP_026829278.1,0,1460,0,1469
XP_011250576.1,XP_026829279.1,0,1449,0,1459
XP_011250576.1,XP_026829280.1,0,1453,0,1464
XP_011250576.1,XP_026829281.1,0,1453,0,1464
XP_011250576.1,XP_026829282.1,0,1452,0,1463
XP_011250577.1,XP_026829278.1,0,1514,0,1523
XP_011250577.1,XP_026829279.1,0,1503,0,1513
XP_011250577.1,XP_026829280.1,0,1509,0,1519
XP_011250577.1,XP_026829281.1,0,1511,0,1521
XP_011250577.1,XP_026829282.1,0,1516,0,1528
XP_011250578.1,XP_026829278.1,0,1514,0,1523
XP_011250578.1,XP_026829279.1,0,1503,0,1513
XP_011250578.1,XP_026829280.1,0,1509,0,1521
XP_011250578.1,XP_026829281.1,0,1511,0,1522
XP_011250578.1,XP_026829282.1,0,1510,0,1522
XP_011250579.1,XP_026829283.1,0,1293,0,1291
XP_011250579.1,XP_026829284.1,0,1234,0,1233
XP_011250580.1,XP_026829283.1,0,1304,0,1303
XP_011250580.1,XP_026829284.1,0,1244,0,1243
XP_011250581.1,XP_019886932.1,0,649,0,649
XP_011250582.1,XP_011336056.1,0,654,0,653
XP_011250582.1,XP_011336063.1,0,623,0,622
XP_011250585.1,XP_019886932.1,0,630,0,630
XP_011250586.1,XP_011336056.1,0,635,0,634
XP_011250588.1,XP_011336056.1,0,624,0,624
XP_011250588.1,XP_011336063.1,0,652,0,652
XP_011250589.2,XP_011347696.1,2.00E-130,368,2.00E-130,368
XP_011250590.1,XP_011336063.1,0,633,0,632
XP_011250591.1,XP_019886935.1,0,530,0,530
XP_011250592.1,XP_011336067.1,0,535,0,535
XP_011250593.1,XP_011336069.1,0,519,0,519
XP_011250593.1,XP_011336070.1,0,528,0,528
XP_011250594.1,XP_011336071.1,0,519,0,519
XP_011250594.1,XP_011336072.1,0,528,0,528
XP_011250595.1,XP_011336073.1,0,535,0,535
XP_011250598.1,XP_011336075.1,3.00E-169,471,4.00E-169,471
XP_011250599.1,XP_011336076.1,2.00E-169,472,2.00E-169,472
XP_011250599.1,XP_011336077.1,9.00E-165,460,9.00E-165,460
XP_011250600.1,XP_011336076.1,1.00E-164,460,1.00E-164,460
XP_011250600.1,XP_011336077.1,3.00E-168,469,3.00E-168,469
XP_011250601.1,XP_011336078.1,2.00E-168,469,2.00E-168,469
XP_011250605.1,XP_011349939.2,0,1052,0,1052
XP_011250606.1,XP_026828946.1,0,792,0,822
XP_011250606.1,XP_026828947.1,0,781,0,813
XP_011250608.1,XP_026828946.1,0,781,0,832
XP_011250608.1,XP_026828947.1,0,789,0,839
XP_011250609.1,XP_026828946.1,0,792,0,822
XP_011250609.1,XP_026828947.1,0,781,0,813
XP_011250610.1,XP_011342265.1,9.00E-159,452,3.00E-159,453
XP_011250615.1,XP_011338542.1,0,2391,0,2330
XP_011250615.1,XP_011338543.1,0,2339,0,2278
XP_011250615.1,XP_011338545.1,0,2331,0,2270
XP_011250615.1,XP_011338546.1,0,2314,0,2252
XP_011250616.1,XP_011338542.1,0,2391,0,2330
XP_011250616.1,XP_011338543.1,0,2339,0,2278
XP_011250616.1,XP_011338545.1,0,2331,0,2270
XP_011250616.1,XP_011338546.1,0,2314,0,2252
XP_011250617.1,XP_011343537.1,0,681,0,681
XP_011250618.1,XP_011338542.1,0,2339,0,2278
XP_011250618.1,XP_011338543.1,0,2350,0,2288
XP_011250618.1,XP_011338545.1,0,2280,0,2216
XP_011250618.1,XP_011338546.1,0,2320,0,2259
XP_011250619.1,XP_011338542.1,0,2331,0,2268
XP_011250619.1,XP_011338543.1,0,2280,0,2214
XP_011250619.1,XP_011338545.1,0,2345,0,2285
XP_011250619.1,XP_011338546.1,0,2256,0,2192
XP_011250620.1,XP_011338542.1,0,2314,0,2252
XP_011250620.1,XP_011338543.1,0,2321,0,2259
XP_011250620.1,XP_011338545.1,0,2257,0,2192
XP_011250620.1,XP_011338546.1,0,2330,0,2268
XP_011250622.1,XP_011329550.1,0,679,0,679
XP_011250622.1,XP_011329555.1,0,646,0,646
XP_011250623.1,XP_026823563.1,0,2003,0,2009
XP_011250625.1,XP_011341518.1,0,1153,0,1163
XP_011250625.1,XP_019887968.1,0,1138,0,1147
XP_011250627.1,XP_011338540.1,0,714,0,714
XP_011250628.2,XP_011338541.1,0,756,0,756
XP_011250629.1,XP_011341519.1,0,793,0,793
XP_011250629.1,XP_011341520.1,0,825,0,825
XP_011250629.1,XP_019887970.1,0,794,0,794
XP_011250630.1,XP_011341519.1,0,803,0,803
XP_011250630.1,XP_011341520.1,0,792,0,792
XP_011250630.1,XP_019887970.1,0,793,0,793
XP_011250631.1,XP_011341523.1,0,1055,0,1090
XP_011250631.1,XP_011341525.1,0,1055,0,1090
XP_011250631.1,XP_011341527.1,0,1055,0,1090
XP_011250631.1,XP_011341528.1,0,1055,0,1090
XP_011250631.1,XP_011341530.1,0,1055,0,1090
XP_011250631.1,XP_011341534.1,0,1055,0,1090
XP_011250631.1,XP_019887969.1,0,1055,0,1090
XP_011250635.1,XP_011341500.1,0,1565,0,1558
XP_011250636.1,XP_026831038.1,0,1430,0,1443
XP_011250638.1,XP_011341503.1,0,795,0,813
XP_011250638.1,XP_011341504.1,0,795,0,813
XP_011250638.1,XP_011341505.1,0,795,0,813
XP_011250638.1,XP_011341506.1,0,795,0,813
XP_011250638.1,XP_011341507.1,0,795,0,813
XP_011250638.1,XP_011341508.1,0,795,0,813
XP_011250638.1,XP_011341509.1,0,795,0,813
XP_011250638.1,XP_011341510.1,0,795,0,813
XP_011250638.1,XP_011341511.1,0,795,0,813
XP_011250638.1,XP_011341512.1,0,795,0,813
XP_011250639.1,XP_011341514.1,0,755,0,773
XP_011250640.1,XP_011341503.1,0,793,0,811
XP_011250640.1,XP_011341504.1,0,793,0,811
XP_011250640.1,XP_011341505.1,0,793,0,811
XP_011250640.1,XP_011341506.1,0,793,0,811
XP_011250640.1,XP_011341507.1,0,793,0,811
XP_011250640.1,XP_011341508.1,0,793,0,811
XP_011250640.1,XP_011341509.1,0,793,0,811
XP_011250640.1,XP_011341510.1,0,793,0,811
XP_011250640.1,XP_011341511.1,0,793,0,811
XP_011250640.1,XP_011341512.1,0,793,0,811
XP_011250643.1,XP_011341503.1,0,793,0,811
XP_011250643.1,XP_011341504.1,0,793,0,811
XP_011250643.1,XP_011341505.1,0,793,0,811
XP_011250643.1,XP_011341506.1,0,793,0,811
XP_011250643.1,XP_011341507.1,0,793,0,811
XP_011250643.1,XP_011341508.1,0,793,0,811
XP_011250643.1,XP_011341509.1,0,793,0,811
XP_011250643.1,XP_011341510.1,0,793,0,811
XP_011250643.1,XP_011341511.1,0,793,0,811
XP_011250643.1,XP_011341512.1,0,793,0,811
XP_011250645.2,XP_026827107.1,0,1328,0,1328
XP_011250652.1,XP_026831108.1,4.00E-159,452,4.00E-159,452
XP_011250656.1,XP_011335300.1,0,692,0,692
XP_011250662.1,XP_011349203.1,0,879,0,879
XP_011250667.1,XP_011349746.1,4.00E-109,313,4.00E-109,313
XP_011250668.1,XP_011349745.1,2.00E-108,312,3.00E-108,312
XP_011250668.1,XP_011349746.1,8.00E-109,311,9.00E-109,311
XP_011250669.1,XP_011349747.2,0,513,0,555
XP_011250670.1,XP_026825707.1,0,729,0,707
XP_011250671.1,XP_011334625.1,1.00E-82,243,1.00E-82,243
XP_011250673.1,XP_011334626.1,0,754,0,722
XP_011250673.1,XP_011334627.1,0,754,0,722
XP_011250673.1,XP_011334629.1,0,754,0,722
XP_011250673.1,XP_011334630.1,0,754,0,722
XP_011250675.1,XP_011334631.1,0,1819,0,1819
XP_011250675.1,XP_011334632.1,0,1819,0,1819
XP_011250675.1,XP_011334633.1,0,1819,0,1819
XP_011250676.1,XP_011334631.1,0,1819,0,1819
XP_011250676.1,XP_011334632.1,0,1819,0,1819
XP_011250676.1,XP_011334633.1,0,1819,0,1819
XP_011250677.1,XP_026830001.1,0,934,0,903
XP_011250678.1,XP_011334636.1,0,1641,0,1635
XP_011250678.1,XP_011334637.1,0,1641,0,1635
XP_011250680.1,XP_011334638.1,0,696,0,674
XP_011250681.1,XP_011351242.1,3.00E-60,184,3.00E-60,184
XP_011250682.1,XP_026829849.1,7.00E-57,173,7.00E-57,173
XP_011250683.1,XP_011334645.2,1.00E-138,400,7.00E-144,413
XP_011250685.1,XP_026829775.1,3.00E-09,57,2.00E-09,57
XP_011250689.1,XP_011338248.1,0,2425,0,2439
XP_011250689.1,XP_011338249.1,0,2425,0,2439
XP_011250689.1,XP_011338250.1,0,2425,0,2439
XP_011250689.1,XP_011338251.1,0,2408,0,2422
XP_011250690.1,XP_011338248.1,0,2408,0,2422
XP_011250690.1,XP_011338249.1,0,2408,0,2422
XP_011250690.1,XP_011338250.1,0,2408,0,2422
XP_011250690.1,XP_011338251.1,0,2407,0,2422
XP_011250692.1,XP_026826955.1,0,684,0,681
XP_011250693.1,XP_026826956.1,0,659,0,659
XP_011250695.1,XP_011343535.1,0,679,0,679
XP_011250695.1,XP_011343536.1,0,679,0,679
XP_011250697.1,XP_011347029.1,1.00E-94,276,1.00E-94,276
XP_011250699.2,XP_011347031.1,9.00E-133,380,7.00E-139,396
XP_011250702.1,XP_019886978.1,0,989,0,989
XP_011250703.1,XP_019886978.1,0,994,0,993
XP_011250704.1,XP_011336326.1,0,955,0,944
XP_011250705.2,XP_011336324.1,0,637,0,637
XP_011250705.2,XP_011336325.1,0,637,0,637
XP_011250709.2,XP_011346066.2,0,1400,0,1382
XP_011250710.1,XP_011346067.1,0,738,0,738
XP_011250711.1,XP_011346062.1,0,1509,0,1494
XP_011250712.1,XP_011346062.1,0,1508,0,1493
XP_011250714.1,XP_011346063.1,0,1207,0,1187
XP_011250715.1,XP_011346063.1,0,1207,0,1187
XP_011250716.1,XP_011346058.1,0,631,0,631
XP_011250716.1,XP_011346059.1,0,631,0,631
XP_011250716.1,XP_011346060.1,0,631,0,631
XP_011250717.1,XP_011346058.1,0,631,0,631
XP_011250717.1,XP_011346059.1,0,631,0,631
XP_011250717.1,XP_011346060.1,0,631,0,631
XP_011250718.1,XP_011346057.1,0,654,0,656
XP_011250721.1,XP_011346054.1,0,1183,0,1193
XP_011250721.1,XP_011346055.1,0,1183,0,1191
XP_011250721.1,XP_011346056.1,0,1183,0,1191
XP_011250723.1,XP_011346054.1,0,1155,0,1164
XP_011250723.1,XP_011346055.1,0,1154,0,1163
XP_011250723.1,XP_011346056.1,0,1154,0,1163
XP_011250726.1,XP_011338651.1,0,1017,0,1017
XP_011250730.1,XP_011341237.1,3.00E-71,213,3.00E-70,209
XP_011250731.1,XP_011335924.1,0,529,0,540
XP_011250731.1,XP_011335926.1,0,529,0,540
XP_011250734.1,XP_011335905.1,5.00E-49,168,4.00E-49,168
XP_011250735.1,XP_011335905.1,5.00E-49,168,5.00E-49,168
XP_011250735.1,XP_011335906.1,3.00E-48,165,3.00E-48,165
XP_011250735.1,XP_011335907.1,4.00E-48,164,3.00E-48,164
XP_011250736.1,XP_011335908.1,0,1418,0,1389
XP_011250736.1,XP_011335909.1,0,1418,0,1389
XP_011250736.1,XP_011335910.1,0,1408,0,1380
XP_011250736.1,XP_011335911.1,0,1368,0,1338
XP_011250736.1,XP_011335912.1,0,1368,0,1339
XP_011250737.1,XP_011335908.1,0,1418,0,1389
XP_011250737.1,XP_011335909.1,0,1418,0,1389
XP_011250737.1,XP_011335910.1,0,1408,0,1380
XP_011250737.1,XP_011335911.1,0,1368,0,1338
XP_011250737.1,XP_011335912.1,0,1368,0,1339
XP_011250738.1,XP_011335908.1,0,1409,0,1380
XP_011250738.1,XP_011335909.1,0,1409,0,1380
XP_011250738.1,XP_011335910.1,0,1415,0,1385
XP_011250738.1,XP_011335911.1,0,1358,0,1330
XP_011250738.1,XP_011335912.1,0,1360,0,1329
XP_011250739.1,XP_011335908.1,0,1368,0,1338
XP_011250739.1,XP_011335909.1,0,1368,0,1338
XP_011250739.1,XP_011335910.1,0,1359,0,1329
XP_011250739.1,XP_011335911.1,0,1318,0,1288
XP_011250739.1,XP_011335912.1,0,1380,0,1351
XP_011250739.1,XP_011335913.1,0,1317,0,1317
XP_011250739.1,XP_011335915.1,0,1313,0,1313
XP_011250740.1,XP_011335916.1,0,797,0,878
XP_011250742.1,XP_011335916.1,0,821,0,882
XP_011250743.1,XP_011335916.1,0,799,0,879
XP_011250744.1,XP_011335916.1,0,799,0,879
XP_011250745.1,XP_011335916.1,0,799,0,879
XP_011250749.1,XP_026830367.1,1.00E-160,474,1.00E-161,476
XP_011250751.2,XP_011335929.1,0,635,0,635
XP_011250752.2,XP_011335929.1,0,640,0,640
XP_011250754.1,XP_011337065.1,0,827,0,798
XP_011250755.2,XP_011341238.1,0,993,0,998
XP_011250755.2,XP_011341239.1,0,993,0,998
XP_011250755.2,XP_011341241.1,0,951,0,956
XP_011250755.2,XP_011341242.1,0,951,0,955
XP_011250761.1,XP_011331065.1,0,1180,0,1180
XP_011250761.1,XP_011331067.1,0,1180,0,1180
XP_011250761.1,XP_011331068.1,0,1180,0,1180
XP_011250762.1,XP_011331058.1,0,914,0,914
XP_011250762.1,XP_011331060.1,0,935,0,935
XP_011250762.1,XP_011331062.1,0,914,0,914
XP_011250762.1,XP_011331063.1,0,915,0,915
XP_011250762.1,XP_011331064.1,0,914,0,914
XP_011250763.1,XP_011331061.1,0,973,0,973
XP_011250764.1,XP_011331058.1,0,915,0,915
XP_011250764.1,XP_011331060.1,0,911,0,911
XP_011250764.1,XP_011331062.1,0,915,0,915
XP_011250764.1,XP_011331063.1,0,930,0,930
XP_011250764.1,XP_011331064.1,0,914,0,914
XP_011250765.1,XP_011337063.1,3.00E-161,448,4.00E-161,448
XP_011250765.1,XP_011337064.1,3.00E-161,448,4.00E-161,448
XP_011250767.2,XP_011331057.2,0,1277,0,1254
XP_011250768.1,XP_011331055.1,3.00E-148,416,3.00E-148,416
XP_011250769.1,XP_011330911.1,2.00E-117,343,2.00E-112,330
