cflo,sinv,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250433.1,XP_011160225.1,8.00E-48,152,9.00E-48,152
XP_011250433.1,XP_011160226.1,1.00E-48,155,1.00E-48,155
XP_011250433.1,XP_011160926.1,1.00E-50,159,1.00E-50,159
XP_011250435.1,XP_011164732.1,0,1093,0,1093
XP_011250441.1,XP_025989431.1,0,742,0,742
XP_011250441.1,XP_025989432.1,0,744,0,744
XP_011250444.1,XP_025994117.1,0,820,0,794
XP_011250445.2,XP_025985819.1,4.00E-23,101,3.00E-23,101
XP_011250447.1,XP_025989431.1,0,742,0,742
XP_011250447.1,XP_025989432.1,0,744,0,744
XP_011250450.1,XP_025989431.1,0,743,0,743
XP_011250450.1,XP_025989432.1,0,750,0,750
XP_011250457.1,XP_011159310.1,5.00E-78,229,6.00E-78,229
XP_011250458.1,XP_011159313.1,0,4007,0,3995
XP_011250459.1,XP_011159313.1,0,3993,0,3982
XP_011250462.1,XP_011159315.1,0,3675,0,3667
XP_011250462.1,XP_011159316.1,0,3610,0,3593
XP_011250463.1,XP_011159315.1,0,3599,0,3604
XP_011250463.1,XP_011159316.1,0,3618,0,3608
XP_011250465.1,XP_011159318.1,0,561,0,561
XP_011250467.1,XP_011159624.1,6.00E-131,369,7.00E-131,369
XP_011250469.2,XP_025987621.1,0,4833,0,4869
XP_011250474.1,XP_011173348.1,0,1050,0,1050
XP_011250474.1,XP_011173349.1,0,1050,0,1050
XP_011250475.1,XP_011173603.1,0,517,0,543
XP_011250476.1,XP_011173605.1,9.00E-112,317,1.00E-111,317
XP_011250478.1,XP_011159625.1,0,1408,0,1488
XP_011250478.1,XP_011159626.1,0,1408,0,1488
XP_011250479.1,XP_011167847.1,0,786,0,786
XP_011250479.1,XP_011173634.1,0,752,0,752
XP_011250479.1,XP_011173639.1,0,757,0,757
XP_011250479.1,XP_011173641.1,0,752,0,752
XP_011250479.1,XP_011173672.1,0,756,0,756
XP_011250479.1,XP_011173741.1,0,756,0,756
XP_011250481.1,XP_011167845.1,0,1444,0,1444
XP_011250482.1,XP_011166334.1,0,1405,0,1386
XP_011250485.1,XP_011156219.1,3.00E-121,348,4.00E-121,348
XP_011250487.1,XP_011159625.1,0,1408,0,1488
XP_011250487.1,XP_011159626.1,0,1408,0,1488
XP_011250488.1,XP_011164505.1,8.00E-48,150,8.00E-48,150
XP_011250489.1,XP_011164507.1,1.00E-127,362,1.00E-127,362
XP_011250490.1,XP_011173852.2,2.00E-107,315,2.00E-116,338
XP_011250490.1,XP_025995322.1,2.00E-107,315,2.00E-116,338
XP_011250491.1,XP_011159625.1,0,1408,0,1488
XP_011250491.1,XP_011159626.1,0,1408,0,1488
XP_011250493.1,XP_025994420.1,0,597,0,597
XP_011250493.1,XP_025994421.1,0,597,0,597
XP_011250494.1,XP_025994420.1,0,590,0,590
XP_011250494.1,XP_025994421.1,0,590,0,590
XP_011250495.1,XP_011168001.1,0,719,0,719
XP_011250498.1,XP_011168004.1,1.00E-140,394,1.00E-140,394
XP_011250499.1,XP_011168004.1,1.00E-140,394,1.00E-140,394
XP_011250503.1,XP_011168002.1,2.00E-157,440,2.00E-157,440
XP_011250504.1,XP_011159627.1,0,725,0,744
XP_011250504.1,XP_011159628.1,0,725,0,744
XP_011250504.1,XP_011159630.1,0,710,0,729
XP_011250510.1,XP_011168000.1,2.00E-25,109,3.00E-25,109
XP_011250512.1,XP_011159627.1,0,711,0,730
XP_011250512.1,XP_011159628.1,0,711,0,730
XP_011250512.1,XP_011159630.1,0,718,0,736
XP_011250513.1,XP_025985929.1,0,758,0,759
XP_011250520.1,XP_011159629.1,0,686,0,706
XP_011250520.1,XP_011159631.1,0,687,0,706
XP_011250521.2,XP_025985825.1,1.00E-162,477,4.00E-166,486
XP_011250523.1,XP_011171970.1,9.00E-111,322,1.00E-116,337
XP_011250524.1,XP_011171948.1,4.00E-132,375,5.00E-132,375
XP_011250524.1,XP_011171957.1,4.00E-132,375,5.00E-132,375
XP_011250524.1,XP_025989695.1,4.00E-132,375,5.00E-132,375
XP_011250525.1,XP_011171924.1,0,1404,0,1402
XP_011250527.1,XP_011159629.1,0,683,0,702
XP_011250527.1,XP_011159631.1,0,692,0,712
XP_011250528.1,XP_011175839.1,0,1049,0,1051
XP_011250529.1,XP_011164846.1,0,964,0,964
XP_011250537.1,XP_025994573.1,0,3422,0,3422
XP_011250538.1,XP_011159633.1,2.00E-122,349,2.00E-122,349
XP_011250539.1,XP_011176218.1,0,522,0,526
XP_011250539.1,XP_011176219.1,0,522,0,526
XP_011250539.1,XP_011176220.1,0,522,0,526
XP_011250539.1,XP_011176221.1,0,529,0,534
XP_011250539.1,XP_011176222.1,0,529,0,534
XP_011250539.1,XP_011176223.1,0,529,0,534
XP_011250539.1,XP_025994125.1,0,522,0,526
XP_011250539.1,XP_025994127.1,0,522,0,526
XP_011250539.1,XP_025994128.1,0,529,0,534
XP_011250540.1,XP_011176218.1,0,527,0,532
XP_011250540.1,XP_011176219.1,0,527,0,532
XP_011250540.1,XP_011176220.1,0,527,0,532
XP_011250540.1,XP_011176221.1,0,535,0,539
XP_011250540.1,XP_011176222.1,0,535,0,539
XP_011250540.1,XP_011176223.1,0,535,0,539
XP_011250540.1,XP_025994125.1,0,527,0,532
XP_011250540.1,XP_025994127.1,0,527,0,532
XP_011250540.1,XP_025994128.1,0,535,0,539
XP_011250541.2,XP_011176224.1,0,536,0,536
XP_011250541.2,XP_011176225.1,0,536,0,536
XP_011250541.2,XP_025994130.1,0,547,0,547
XP_011250545.1,XP_011157143.1,1.00E-98,292,2.00E-98,292
XP_011250546.1,XP_011157144.2,2.00E-131,375,2.00E-131,375
XP_011250549.1,XP_011176190.1,0,684,0,684
XP_011250551.1,XP_011176190.1,0,684,0,684
XP_011250552.1,XP_011176190.1,0,689,0,689
XP_011250553.1,XP_011176190.1,0,691,0,691
XP_011250554.1,XP_011176190.1,0,696,0,696
XP_011250555.1,XP_011168910.1,0,555,0,570
XP_011250555.1,XP_025993396.1,0,555,0,570
XP_011250555.1,XP_025993397.1,0,555,0,570
XP_011250555.1,XP_025994121.1,0,549,0,549
XP_011250559.1,XP_011168905.1,0,517,0,516
XP_011250559.1,XP_025993365.1,0,518,0,516
XP_011250559.1,XP_025993366.1,0,517,0,516
XP_011250559.1,XP_025993367.1,0,517,0,516
XP_011250560.1,XP_011168911.1,0,868,0,868
XP_011250560.1,XP_011168912.1,0,868,0,868
XP_011250560.1,XP_011168913.1,0,868,0,868
XP_011250560.1,XP_011168914.1,0,868,0,868
XP_011250560.1,XP_025993364.1,0,865,0,865
XP_011250562.1,XP_011168911.1,0,858,0,858
XP_011250562.1,XP_011168912.1,0,858,0,858
XP_011250562.1,XP_011168913.1,0,858,0,858
XP_011250562.1,XP_011168914.1,0,858,0,858
XP_011250562.1,XP_025993364.1,0,855,0,855
XP_011250565.1,XP_011176247.1,3.00E-172,484,4.00E-172,484
XP_011250566.2,XP_011169761.1,9.00E-156,457,1.00E-155,457
XP_011250570.1,XP_011165510.1,0,664,0,664
XP_011250572.1,XP_011165482.1,0,1609,0,1645
XP_011250572.1,XP_011165483.1,0,1608,0,1642
XP_011250572.1,XP_025986325.1,0,1625,0,1662
XP_011250572.1,XP_025986326.1,0,1622,0,1658
XP_011250572.1,XP_025986327.1,0,1587,0,1623
XP_011250572.1,XP_025986328.1,0,1583,0,1618
XP_011250572.1,XP_025986329.1,0,1564,0,1601
XP_011250572.1,XP_025986330.1,0,1546,0,1583
XP_011250573.1,XP_011165482.1,0,1618,0,1654
XP_011250573.1,XP_011165483.1,0,1615,0,1651
XP_011250573.1,XP_025986325.1,0,1610,0,1645
XP_011250573.1,XP_025986326.1,0,1608,0,1643
XP_011250573.1,XP_025986327.1,0,1572,0,1607
XP_011250573.1,XP_025986328.1,0,1568,0,1603
XP_011250573.1,XP_025986329.1,0,1550,0,1585
XP_011250575.1,XP_011165482.1,0,1569,0,1607
XP_011250575.1,XP_011165483.1,0,1569,0,1605
XP_011250575.1,XP_025986325.1,0,1586,0,1622
XP_011250575.1,XP_025986326.1,0,1586,0,1621
XP_011250575.1,XP_025986327.1,0,1589,0,1626
XP_011250575.1,XP_025986328.1,0,1587,0,1623
XP_011250575.1,XP_025986329.1,0,1524,0,1561
XP_011250575.1,XP_025986331.1,0,1530,0,1568
XP_011250576.1,XP_011165482.1,0,1550,0,1585
XP_011250576.1,XP_011165483.1,0,1547,0,1583
XP_011250576.1,XP_025986325.1,0,1565,0,1600
XP_011250576.1,XP_025986326.1,0,1561,0,1597
XP_011250576.1,XP_025986327.1,0,1527,0,1563
XP_011250576.1,XP_025986328.1,0,1522,0,1558
XP_011250576.1,XP_025986329.1,0,1581,0,1617
XP_011250576.1,XP_025986331.1,0,1542,0,1577
XP_011250577.1,XP_025986330.1,0,1539,0,1575
XP_011250577.1,XP_025986332.1,0,1538,0,1574
XP_011250577.1,XP_025986333.1,0,1543,0,1581
XP_011250578.1,XP_025986330.1,0,1539,0,1575
XP_011250578.1,XP_025986332.1,0,1538,0,1573
XP_011250578.1,XP_025986333.1,0,1537,0,1574
XP_011250579.1,XP_011165489.1,0,1535,0,1535
XP_011250580.1,XP_025986335.1,0,1505,0,1505
XP_011250580.1,XP_025986336.1,0,1514,0,1514
XP_011250581.1,XP_011165491.1,0,643,0,639
XP_011250581.1,XP_011165492.1,0,625,0,619
XP_011250582.1,XP_011165495.1,0,620,0,614
XP_011250582.1,XP_025986183.1,0,650,0,645
XP_011250582.1,XP_025986185.1,0,631,0,625
XP_011250583.1,XP_011165493.1,0,634,0,628
XP_011250583.1,XP_011165494.1,0,614,0,608
XP_011250583.1,XP_025986184.1,0,644,0,639
XP_011250584.1,XP_011165493.1,0,640,0,635
XP_011250584.1,XP_011165494.1,0,620,0,615
XP_011250584.1,XP_025986184.1,0,632,0,627
XP_011250585.1,XP_011165491.1,0,624,0,619
XP_011250585.1,XP_011165492.1,0,643,0,638
XP_011250586.1,XP_011165496.1,0,619,0,613
XP_011250586.1,XP_025986183.1,0,631,0,626
XP_011250586.1,XP_025986185.1,0,649,0,645
XP_011250588.1,XP_011165495.1,0,648,0,643
XP_011250588.1,XP_011165496.1,0,629,0,624
XP_011250588.1,XP_025986183.1,0,619,0,614
XP_011250589.2,XP_011164926.1,4.00E-131,370,4.00E-131,370
XP_011250590.1,XP_011165495.1,0,628,0,624
XP_011250590.1,XP_011165496.1,0,647,0,642
XP_011250590.1,XP_025986185.1,0,618,0,614
XP_011250591.1,XP_011165497.1,0,528,0,528
XP_011250592.1,XP_025986186.1,0,535,0,535
XP_011250593.1,XP_011165498.1,0,523,0,523
XP_011250594.1,XP_011165499.1,0,525,0,525
XP_011250595.1,XP_011165500.1,0,535,0,535
XP_011250596.1,XP_011165502.1,0,525,0,525
XP_011250596.1,XP_025986189.1,0,536,0,536
XP_011250597.1,XP_011165502.1,0,532,0,532
XP_011250597.1,XP_025986189.1,0,524,0,524
XP_011250598.1,XP_011165503.1,3.00E-168,469,3.00E-168,469
XP_011250599.1,XP_011165504.1,8.00E-164,458,9.00E-164,458
XP_011250599.1,XP_025986190.1,1.00E-168,470,2.00E-168,470
XP_011250600.1,XP_011165504.1,8.00E-167,465,9.00E-167,465
XP_011250601.1,XP_011165505.1,4.00E-167,466,5.00E-167,466
XP_011250605.1,XP_011165475.2,0,1053,0,1053
XP_011250606.1,XP_011165473.1,0,858,0,863
XP_011250606.1,XP_011165474.1,0,842,0,854
XP_011250608.1,XP_011165473.1,0,841,0,872
XP_011250608.1,XP_011165474.1,0,850,0,880
XP_011250609.1,XP_011165473.1,0,858,0,863
XP_011250609.1,XP_011165474.1,0,842,0,854
XP_011250610.1,XP_011165471.1,2.00E-148,425,6.00E-150,429
XP_011250615.1,XP_011174263.2,0,2354,0,2343
XP_011250615.1,XP_011174268.2,0,2301,0,2287
XP_011250615.1,XP_011174274.2,0,2271,0,2267
XP_011250615.1,XP_025987249.1,0,2330,0,2294
XP_011250616.1,XP_011174263.2,0,2354,0,2343
XP_011250616.1,XP_011174268.2,0,2301,0,2287
XP_011250616.1,XP_011174274.2,0,2271,0,2267
XP_011250616.1,XP_025987249.1,0,2330,0,2294
XP_011250617.1,XP_011165228.1,0,677,0,677
XP_011250618.1,XP_011174263.2,0,2315,0,2295
XP_011250618.1,XP_011174268.2,0,2257,0,2239
XP_011250618.1,XP_011174274.2,0,2277,0,2274
XP_011250618.1,XP_025987249.1,0,2341,0,2305
XP_011250619.1,XP_011174263.2,0,2300,0,2286
XP_011250619.1,XP_011174268.2,0,2312,0,2299
XP_011250619.1,XP_011174274.2,0,2214,0,2211
XP_011250619.1,XP_025987249.1,0,2276,0,2238
XP_011250620.1,XP_011174263.2,0,2284,0,2267
XP_011250620.1,XP_011174268.2,0,2229,0,2211
XP_011250620.1,XP_011174274.2,0,2284,0,2283
XP_011250620.1,XP_025987249.1,0,2310,0,2274
XP_011250622.1,XP_011174253.1,0,686,0,686
XP_011250623.1,XP_025990784.1,0,2122,0,2065
XP_011250623.1,XP_025990785.1,0,2122,0,2065
XP_011250625.1,XP_011174307.1,0,1167,0,1167
XP_011250625.1,XP_011174313.1,0,1167,0,1167
XP_011250627.1,XP_011174290.1,0,704,0,704
XP_011250627.1,XP_011174293.1,0,708,0,708
XP_011250628.2,XP_011174290.1,0,705,0,705
XP_011250628.2,XP_011174293.1,0,704,0,704
XP_011250629.1,XP_011174320.1,0,724,0,777
XP_011250629.1,XP_025987290.1,0,753,0,807
XP_011250630.1,XP_011174320.1,0,734,0,788
XP_011250630.1,XP_025987290.1,0,723,0,778
XP_011250631.1,XP_011174328.1,0,1110,0,1121
XP_011250631.1,XP_025987288.1,0,1110,0,1121
XP_011250631.1,XP_025987289.1,0,1110,0,1121
XP_011250632.1,XP_011164934.1,0,2073,0,2043
XP_011250632.1,XP_025990786.1,0,2023,0,1993
XP_011250635.1,XP_011174346.1,0,1583,0,1578
XP_011250636.1,XP_011174364.1,0,1461,0,1470
XP_011250638.1,XP_025987277.1,0,791,0,818
XP_011250638.1,XP_025987279.1,0,791,0,818
XP_011250638.1,XP_025987280.1,0,791,0,818
XP_011250638.1,XP_025987281.1,0,791,0,818
XP_011250638.1,XP_025987282.1,0,791,0,818
XP_011250639.1,XP_025987283.1,0,748,0,774
XP_011250640.1,XP_025987277.1,0,791,0,817
XP_011250640.1,XP_025987279.1,0,791,0,817
XP_011250640.1,XP_025987280.1,0,791,0,817
XP_011250640.1,XP_025987281.1,0,791,0,817
XP_011250640.1,XP_025987282.1,0,791,0,817
XP_011250641.1,XP_011164934.1,0,2023,0,1992
XP_011250641.1,XP_025990786.1,0,2037,0,2008
XP_011250643.1,XP_025987277.1,0,791,0,817
XP_011250643.1,XP_025987279.1,0,791,0,817
XP_011250643.1,XP_025987280.1,0,791,0,817
XP_011250643.1,XP_025987281.1,0,791,0,817
XP_011250643.1,XP_025987282.1,0,791,0,817
XP_011250645.2,XP_011165379.1,0,1358,0,1358
XP_011250652.1,XP_011164999.1,2.00E-158,450,5.00E-165,467
XP_011250656.1,XP_011168594.1,0,657,0,657
XP_011250657.2,XP_025987219.1,4.00E-34,132,6.00E-37,140
XP_011250662.1,XP_011172109.1,0,852,0,852
XP_011250668.1,XP_011161081.1,1.00E-110,317,2.00E-110,317
XP_011250669.1,XP_011161094.1,0,550,0,569
XP_011250670.1,XP_011161039.1,0,884,0,856
XP_011250670.1,XP_011161055.1,0,895,0,867
XP_011250670.1,XP_025990916.1,0,884,0,856
XP_011250671.1,XP_011161125.1,3.00E-85,250,3.00E-85,250
XP_011250673.1,XP_011161105.1,0,735,0,722
XP_011250673.1,XP_011161112.1,0,735,0,722
XP_011250675.1,XP_011161215.1,0,1816,0,1816
XP_011250676.1,XP_011161215.1,0,1816,0,1816
XP_011250677.1,XP_011162040.1,0,930,0,902
XP_011250680.1,XP_011161228.1,0,714,0,691
XP_011250681.1,XP_011161254.1,1.00E-60,185,1.00E-60,185
XP_011250682.1,XP_011161241.1,4.00E-60,181,4.00E-60,181
