cflo,mmus,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250435.1,NP_001028350.1,2.00E-149,442,2.00E-148,439
XP_011250435.1,NP_001344813.1,2.00E-151,449,3.00E-150,445
XP_011250435.1,XP_030106001.1,3.00E-151,448,4.00E-150,444
XP_011250435.1,XP_030106002.1,4.00E-150,445,3.00E-149,441
XP_011250435.1,XP_030106003.1,2.00E-149,442,3.00E-148,437
XP_011250441.1,NP_001152968.1,6.00E-148,433,2.00E-148,433
XP_011250441.1,NP_001152969.1,1.00E-148,431,4.00E-149,431
XP_011250441.1,NP_001152970.1,2.00E-148,431,7.00E-149,431
XP_011250441.1,NP_032936.1,2.00E-144,421,4.00E-145,421
XP_011250441.1,NP_035281.1,1.00E-148,431,4.00E-149,431
XP_011250441.1,XP_006515666.1,2.00E-144,421,4.00E-145,421
XP_011250441.1,XP_006523923.1,6.00E-148,433,2.00E-148,433
XP_011250441.1,XP_006523924.1,2.00E-148,431,7.00E-149,431
XP_011250441.1,XP_006523925.1,1.00E-148,431,4.00E-149,431
XP_011250441.1,XP_011244623.1,6.00E-148,433,2.00E-148,433
XP_011250441.1,XP_011244624.1,6.00E-148,433,2.00E-148,433
XP_011250441.1,XP_030105452.1,2.00E-148,431,7.00E-149,431
XP_011250441.1,XP_030105453.1,1.00E-148,431,4.00E-149,431
XP_011250441.1,XP_030105454.1,1.00E-148,431,4.00E-149,431
XP_011250444.1,NP_001020549.1,2.00E-94,303,2.00E-92,296
XP_011250444.1,NP_001258455.1,4.00E-94,304,1.00E-92,299
XP_011250444.1,NP_032791.1,4.00E-94,304,1.00E-92,299
XP_011250444.1,XP_011236755.1,2.00E-94,303,2.00E-92,296
XP_011250444.1,XP_030108010.1,2.00E-94,303,2.00E-92,296
XP_011250445.2,NP_001346337.1,2.00E-86,289,9.00E-87,288
XP_011250445.2,NP_898911.2,2.00E-86,289,1.00E-86,288
XP_011250445.2,XP_017176594.1,2.00E-86,289,9.00E-87,288
XP_011250447.1,NP_001152968.1,6.00E-148,433,2.00E-148,433
XP_011250447.1,NP_001152969.1,1.00E-148,431,4.00E-149,431
XP_011250447.1,NP_001152970.1,2.00E-148,431,7.00E-149,431
XP_011250447.1,NP_032936.1,2.00E-144,421,4.00E-145,421
XP_011250447.1,NP_035281.1,1.00E-148,431,4.00E-149,431
XP_011250447.1,XP_006515666.1,2.00E-144,421,4.00E-145,421
XP_011250447.1,XP_006523923.1,6.00E-148,433,2.00E-148,433
XP_011250447.1,XP_006523924.1,2.00E-148,431,7.00E-149,431
XP_011250447.1,XP_006523925.1,1.00E-148,431,4.00E-149,431
XP_011250447.1,XP_011244623.1,6.00E-148,433,2.00E-148,433
XP_011250447.1,XP_011244624.1,6.00E-148,433,2.00E-148,433
XP_011250447.1,XP_030105452.1,2.00E-148,431,7.00E-149,431
XP_011250447.1,XP_030105453.1,1.00E-148,431,4.00E-149,431
XP_011250447.1,XP_030105454.1,1.00E-148,431,4.00E-149,431
XP_011250450.1,NP_001152968.1,6.00E-148,432,1.00E-148,433
XP_011250450.1,NP_001152969.1,1.00E-148,431,4.00E-149,431
XP_011250450.1,NP_001152970.1,2.00E-148,431,5.00E-149,431
XP_011250450.1,NP_032936.1,1.00E-144,421,3.00E-145,421
XP_011250450.1,NP_035281.1,9.00E-149,431,3.00E-149,431
XP_011250450.1,XP_006515666.1,1.00E-144,421,3.00E-145,421
XP_011250450.1,XP_006523923.1,6.00E-148,432,1.00E-148,433
XP_011250450.1,XP_006523924.1,2.00E-148,431,5.00E-149,431
XP_011250450.1,XP_006523925.1,1.00E-148,431,4.00E-149,431
XP_011250450.1,XP_011244623.1,6.00E-148,432,1.00E-148,433
XP_011250450.1,XP_011244624.1,6.00E-148,432,1.00E-148,433
XP_011250450.1,XP_030105452.1,2.00E-148,431,5.00E-149,431
XP_011250450.1,XP_030105453.1,1.00E-148,431,4.00E-149,431
XP_011250450.1,XP_030105454.1,1.00E-148,431,4.00E-149,431
XP_011250465.1,NP_001165583.1,7.00E-91,278,2.00E-91,278
XP_011250465.1,NP_663403.1,1.00E-90,278,3.00E-91,278
XP_011250465.1,XP_006532932.1,7.00E-91,279,2.00E-91,279
XP_011250467.1,NP_031505.1,5.00E-112,322,2.00E-112,322
XP_011250467.1,NP_031506.1,7.00E-112,322,2.00E-112,322
XP_011250474.1,NP_001265004.1,0,752,0,752
