pogo,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
NP_001292551.1,XP_011268630.1,0,2243,0,2243
NP_001292551.1,XP_011268631.1,0,2243,0,2243
NP_001292551.1,XP_019885429.1,0,2243,0,2243
XP_011629434.1,XP_011269163.1,2.00E-104,305,5.00E-113,327
XP_011629436.2,XP_011262422.1,0,938,0,938
XP_011629437.1,XP_019884279.1,0,798,0,799
XP_011629437.1,XP_025261818.1,0,798,0,799
XP_011629438.1,XP_011262419.2,0,821,0,809
XP_011629439.1,XP_011252228.1,0,2067,0,2067
XP_011629440.1,XP_011252228.1,0,1993,0,1993
XP_011629444.1,XP_011252224.2,0,1699,0,1681
XP_011629444.1,XP_011252225.2,0,1699,0,1681
XP_011629444.1,XP_025265493.1,0,1663,0,1644
XP_011629445.2,XP_011252234.1,0,578,0,550
XP_011629446.1,XP_011252223.1,4.00E-165,461,3.00E-165,461
XP_011629447.1,XP_011252222.1,3.00E-174,495,2.00E-174,496
XP_011629448.1,XP_011252219.1,0,1337,0,1362
XP_011629448.1,XP_011252220.1,0,1337,0,1362
XP_011629448.1,XP_011252221.1,0,1345,0,1371
XP_011629449.1,XP_011252219.1,0,1370,0,1397
XP_011629449.1,XP_011252220.1,0,1370,0,1397
XP_011629449.1,XP_011252221.1,0,1333,0,1361
XP_011629452.1,XP_011269284.1,0,575,0,575
XP_011629454.1,XP_011260951.1,0,869,0,868
XP_011629456.1,XP_025265542.1,1.00E-90,265,3.00E-91,266
XP_011629457.1,XP_011261466.2,2.00E-152,435,6.00E-153,435
XP_011629458.1,XP_011261466.2,2.00E-152,435,6.00E-153,435
XP_011629459.1,XP_011261466.2,2.00E-152,435,6.00E-153,435
XP_011629460.1,XP_011261466.2,2.00E-152,435,6.00E-153,435
XP_011629461.1,XP_011261466.2,1.00E-152,434,4.00E-153,434
XP_011629463.1,XP_011261466.2,1.00E-152,434,4.00E-153,434
XP_011629464.2,XP_011261460.1,3.00E-124,355,2.00E-124,355
XP_011629464.2,XP_025268952.1,3.00E-124,355,2.00E-124,355
XP_011629465.1,XP_011269165.1,3.00E-175,497,1.00E-156,449
XP_011629466.1,XP_025265432.1,0,664,0,664
XP_011629466.1,XP_025265433.1,0,658,0,658
XP_011629468.1,XP_011252096.2,0,1178,0,1199
XP_011629469.1,XP_011252096.2,0,1178,0,1199
XP_011629470.1,XP_011252096.2,0,1178,0,1199
XP_011629471.1,XP_011252093.1,0,899,0,899
XP_011629471.1,XP_011252094.1,0,881,0,881
XP_011629471.1,XP_011252095.1,0,881,0,881
XP_011629472.1,XP_011252093.1,0,882,0,882
XP_011629472.1,XP_011252094.1,0,900,0,900
XP_011629472.1,XP_011252095.1,0,900,0,900
XP_011629473.1,XP_011252093.1,0,882,0,882
XP_011629473.1,XP_011252094.1,0,900,0,900
XP_011629473.1,XP_011252095.1,0,900,0,900
XP_011629477.1,XP_011252089.1,0,939,0,939
XP_011629477.1,XP_011252090.1,0,945,0,945
XP_011629477.1,XP_011252091.1,0,931,0,931
XP_011629477.1,XP_025265435.1,0,939,0,939
XP_011629478.1,XP_011252089.1,0,929,0,930
XP_011629478.1,XP_011252090.1,0,931,0,931
XP_011629478.1,XP_011252091.1,0,937,0,937
XP_011629478.1,XP_025265435.1,0,929,0,930
XP_011629479.1,XP_011252088.1,0,1946,0,1925
XP_011629480.1,XP_011264315.1,0,554,0,554
XP_011629480.1,XP_011264316.1,0,543,0,543
XP_011629481.1,XP_011264315.1,0,540,0,540
XP_011629481.1,XP_011264316.1,0,541,0,541
XP_011629484.1,XP_011264318.1,0,832,0,808
XP_011629484.1,XP_011264320.1,0,832,0,808
