"temno","cflo","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba","cflo_gene","cflo_name","temno_gene","temno_name"
"TGZ31812.1","XP_011252771.1",3e-28,110,1e-28,110,"LOC105249181","guanylate kinase isoform X1","DBV15_12251","Disks large 1 tumor suppressor protein, partial"
"TGZ31812.1","XP_011252772.1",2e-28,110,6e-29,110,"LOC105249181","guanylate kinase isoform X2","DBV15_12251","Disks large 1 tumor suppressor protein, partial"
"TGZ31812.1","XP_011252773.1",2e-28,110,6e-29,110,"LOC105249181","guanylate kinase isoform X2","DBV15_12251","Disks large 1 tumor suppressor protein, partial"
"TGZ31814.1","XP_011263205.1",0,797,0,795,"LOC105255564","phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform isoform X1","DBV15_06877","Phosphorylase b kinase gamma catalytic chain, skeletal muscle isoform"
"TGZ31814.1","XP_011263206.1",0,758,0,753,"LOC105255564","phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform isoform X2","DBV15_06877","Phosphorylase b kinase gamma catalytic chain, skeletal muscle isoform"
"TGZ31816.1","XP_011263199.1",0,927,0,927,"LOC105255562","proton-coupled amino acid transporter-like protein pathetic isoform X1","DBV15_06878","Proton-coupled amino acid transporter 4"
"TGZ31816.1","XP_011263200.1",0,949,0,949,"LOC105255562","proton-coupled amino acid transporter-like protein pathetic isoform X3","DBV15_06878","Proton-coupled amino acid transporter 4"
"TGZ31816.1","XP_019884450.1",0,934,0,934,"LOC105255562","proton-coupled amino acid transporter-like protein pathetic isoform X2","DBV15_06878","Proton-coupled amino acid transporter 4"
"TGZ31818.1","XP_011265910.1",0,881,0,833,"LOC105257161","arginine/serine-rich protein PNISR","DBV15_06888","Splicing factor, arginine/serine-rich 18"
"TGZ31819.1","XP_011265908.1",5e-104,299,2e-104,299,"LOC105257159","cytochrome c oxidase subunit 4 isoform 1, mitochondrial","DBV15_06889","Cytochrome c oxidase subunit 4, mitochondrial"
"TGZ31819.1","XP_011265909.1",5e-104,299,2e-104,299,"LOC105257159","cytochrome c oxidase subunit 4 isoform 1, mitochondrial","DBV15_06889","Cytochrome c oxidase subunit 4, mitochondrial"
"TGZ31820.1","XP_011265888.1",0,2277,0,2251,"LOC105257150","SLIT-ROBO Rho GTPase-activating protein 1 isoform X1","DBV15_06882","SLIT-ROBO Rho GTPase-activating protein 1"
"TGZ31820.1","XP_011265889.1",0,2223,0,2199,"LOC105257150","SLIT-ROBO Rho GTPase-activating protein 1 isoform X2","DBV15_06882","SLIT-ROBO Rho GTPase-activating protein 1"
"TGZ31820.1","XP_011265890.1",0,2222,0,2197,"LOC105257150","SLIT-ROBO Rho GTPase-activating protein 1 isoform X3","DBV15_06882","SLIT-ROBO Rho GTPase-activating protein 1"
"TGZ31820.1","XP_011265892.1",0,2222,0,2197,"LOC105257150","SLIT-ROBO Rho GTPase-activating protein 1 isoform X3","DBV15_06882","SLIT-ROBO Rho GTPase-activating protein 1"
"TGZ31820.1","XP_011265893.1",0,2222,0,2197,"LOC105257150","SLIT-ROBO Rho GTPase-activating protein 1 isoform X3","DBV15_06882","SLIT-ROBO Rho GTPase-activating protein 1"
"TGZ31820.1","XP_011265894.1",0,2224,0,2200,"LOC105257150","SLIT-ROBO Rho GTPase-activating protein 1 isoform X4","DBV15_06882","SLIT-ROBO Rho GTPase-activating protein 1"
"TGZ31821.1","XP_025269220.1",2e-123,358,2e-133,382,"LOC105257596","ubiquinone biosynthesis O-methyltransferase, mitochondrial","DBV15_06880","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"TGZ31821.1","XP_025269221.1",2e-123,358,2e-133,382,"LOC105257596","ubiquinone biosynthesis O-methyltransferase, mitochondrial","DBV15_06880","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"TGZ31821.1","XP_025269222.1",2e-123,358,2e-133,382,"LOC105257596","ubiquinone biosynthesis O-methyltransferase, mitochondrial","DBV15_06880","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"TGZ31821.1","XP_025269223.1",2e-123,358,2e-133,382,"LOC105257596","ubiquinone biosynthesis O-methyltransferase, mitochondrial","DBV15_06880","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"TGZ31821.1","XP_025269224.1",2e-123,358,2e-133,382,"LOC105257596","ubiquinone biosynthesis O-methyltransferase, mitochondrial","DBV15_06880","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"TGZ31821.1","XP_025269225.1",2e-123,358,2e-133,382,"LOC105257596","ubiquinone biosynthesis O-methyltransferase, mitochondrial","DBV15_06880","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"TGZ31821.1","XP_025269226.1",2e-123,358,2e-133,382,"LOC105257596","ubiquinone biosynthesis O-methyltransferase, mitochondrial","DBV15_06880","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"TGZ31821.1","XP_025269227.1",2e-123,358,2e-133,382,"LOC105257596","ubiquinone biosynthesis O-methyltransferase, mitochondrial","DBV15_06880","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"TGZ31822.1","XP_011265895.1",0,2294,0,2293,"LOC105257151","E3 ubiquitin-protein ligase RNF123","DBV15_06881","Uncharacterized protein DBV15_06881"
"TGZ31823.1","XP_025269162.1",0,889,0,867,"LOC105257169","protein arginine N-methyltransferase 1","DBV15_06886","Protein arginine N-methyltransferase 3"
"TGZ31825.1","XP_025269161.1",0,1193,0,1193,"LOC105257156","DNA polymerase eta","DBV15_06887","Uncharacterized protein DBV15_06887"
"TGZ31835.1","XP_011258477.1",8e-169,482,4e-171,488,"LOC105252673","microphthalmia-associated transcription factor isoform X2","DBV15_06904","Microphthalmia-associated transcription factor"
"TGZ31835.1","XP_011258479.1",2e-169,482,4e-172,488,"LOC105252673","microphthalmia-associated transcription factor isoform X3","DBV15_06904","Microphthalmia-associated transcription factor"
"TGZ31835.1","XP_025269228.1",1e-169,482,3e-172,488,"LOC105252673","microphthalmia-associated transcription factor isoform X4","DBV15_06904","Microphthalmia-associated transcription factor"
"TGZ31835.1","XP_025269229.1",2e-169,481,3e-172,487,"LOC105252673","microphthalmia-associated transcription factor isoform X5","DBV15_06904","Microphthalmia-associated transcription factor"
"TGZ31835.1","XP_025269230.1",2e-169,481,3e-172,487,"LOC105252673","microphthalmia-associated transcription factor isoform X5","DBV15_06904","Microphthalmia-associated transcription factor"
"TGZ31835.1","XP_025269231.1",2e-169,481,3e-172,487,"LOC105252673","microphthalmia-associated transcription factor isoform X5","DBV15_06904","Microphthalmia-associated transcription factor"
"TGZ31836.1","XP_011265898.1",0,976,0,961,"LOC105257153","leucine-rich PPR motif-containing protein, mitochondrial","DBV15_06883","Leucine-rich PPR motif-containing protein, mitochondrial"
"TGZ31837.1","XP_011265899.1",0,724,0,731,"LOC105257155","zinc finger protein 765","DBV15_06885","Insulinoma-associated protein 1"
"TGZ31838.1","XP_011258480.1",0,579,0,579,"LOC105252674","cathepsin L1 isoform X1","DBV15_06899","Uncharacterized protein DBV15_06899"
"TGZ31839.1","XP_011258482.1",0,672,0,672,"LOC105252675","inhibin beta C chain isoform X1","DBV15_06898","Inhibin beta B chain"
"TGZ31840.1","XP_011265920.1",0,2124,0,2105,"LOC105257166","integrator complex subunit 2 isoform X1","DBV15_06891","Uncharacterized protein DBV15_06891"
"TGZ31841.1","XP_019884896.1",0,998,0,986,"LOC105257162","non-canonical poly(A) RNA polymerase PAPD5","DBV15_06890","PAP-associated domain-containing protein 5"
"TGZ31842.1","XP_011258470.1",0,709,0,704,"LOC105252668","beta-1,3-galactosyltransferase 1","DBV15_06893","Hexosyltransferase"
"TGZ31843.1","XP_011258471.1",0,2342,0,2342,"LOC105252669","calcium-dependent secretion activator isoform X1","DBV15_06895","Calcium-dependent secretion activator"
"TGZ31843.1","XP_019883535.1",0,2342,0,2342,"LOC105252669","calcium-dependent secretion activator isoform X1","DBV15_06895","Calcium-dependent secretion activator"
"TGZ31843.1","XP_025269142.1",0,2342,0,2342,"LOC105252669","calcium-dependent secretion activator isoform X1","DBV15_06895","Calcium-dependent secretion activator"
"TGZ31843.1","XP_025269143.1",0,2342,0,2342,"LOC105252669","calcium-dependent secretion activator isoform X1","DBV15_06895","Calcium-dependent secretion activator"
"TGZ31843.1","XP_025269144.1",0,2342,0,2342,"LOC105252669","calcium-dependent secretion activator isoform X1","DBV15_06895","Calcium-dependent secretion activator"
"TGZ31843.1","XP_025269145.1",0,2347,0,2347,"LOC105252669","calcium-dependent secretion activator isoform X2","DBV15_06895","Calcium-dependent secretion activator"
"TGZ31843.1","XP_025269146.1",0,2336,0,2336,"LOC105252669","calcium-dependent secretion activator isoform X3","DBV15_06895","Calcium-dependent secretion activator"
"TGZ31845.1","XP_011258475.1",0,726,0,726,"LOC105252672","acidic fibroblast growth factor intracellular-binding protein","DBV15_06897","Acidic fibroblast growth factor intracellular-binding protein"
"TGZ31846.1","XP_011258474.1",0,680,0,696,"LOC105252671","pyruvate dehydrogenase E1 component subunit beta, mitochondrial","DBV15_06896","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"
"TGZ31847.1","XP_011265922.1",8e-101,289,3e-101,289,"LOC105257168","AP-2 complex subunit sigma","DBV15_06892","AP complex subunit sigma"
"TGZ31850.1","XP_011252117.1",3e-81,250,9e-82,250,"LOC105248810","putative vesicle-associated membrane protein 726 isoform X1","DBV15_01194","Spermatogenesis-associated protein 17"
"TGZ31850.1","XP_025263524.1",4e-81,249,1e-81,249,"LOC105248810","putative vesicle-associated membrane protein 726 isoform X2","DBV15_01194","Spermatogenesis-associated protein 17"
"TGZ31851.1","XP_025263522.1",0,3311,0,3311,"LOC105254429","zinc finger SWIM domain-containing protein 8","DBV15_01197","Uncharacterized protein DBV15_01197"
"TGZ31852.1","XP_011261400.3",0,925,0,905,"LOC105254428","LOW QUALITY PROTEIN: alanine--glyoxylate aminotransferase 2-like","DBV15_01196","Alanine--glyoxylate aminotransferase 2-like protein"
"TGZ31853.1","XP_011252104.1",2e-96,283,4e-97,283,"LOC105248805","uncharacterized protein LOC105248805 isoform X1","DBV15_01191","Uncharacterized protein DBV15_01191"
"TGZ31853.1","XP_011252105.1",1e-98,288,1e-99,290,"LOC105248805","uncharacterized protein LOC105248805 isoform X2","DBV15_01191","Uncharacterized protein DBV15_01191"
"TGZ31855.1","XP_025262279.1",0,2161,0,2179,"LOC105252092","transcriptional activator cubitus interruptus isoform X1","DBV15_01205","Uncharacterized protein DBV15_01205"
"TGZ31855.1","XP_025262280.1",0,2115,0,2136,"LOC105252092","transcriptional activator cubitus interruptus isoform X2","DBV15_01205","Uncharacterized protein DBV15_01205"
"TGZ31858.1","XP_025270299.1",9e-33,112,3e-33,112,"LOC109610336","uncharacterized protein LOC109610336","DBV15_01206","Uncharacterized protein DBV15_01206"
"TGZ31859.1","XP_019882832.2",0,4242,0,4178,"LOC105250357","uncharacterized protein LOC105250357","DBV15_01201","63 kDa sperm flagellar membrane protein"
"TGZ31860.1","XP_025263520.1",0,912,0,897,"LOC105257639","dynactin subunit 4 isoform X1","DBV15_01200","Dynactin subunit 4"
"TGZ31860.1","XP_025263521.1",0,905,0,891,"LOC105257639","dynactin subunit 4 isoform X2","DBV15_01200","Dynactin subunit 4"
"TGZ31863.1","XP_011261967.1",0,999,0,1011,"LOC105254753","protein GDAP2 homolog","DBV15_01209","Uncharacterized protein DBV15_01209"
"TGZ31863.1","XP_011262050.1",0,999,0,1011,"LOC105254753","protein GDAP2 homolog","DBV15_01209","Uncharacterized protein DBV15_01209"
"TGZ31863.1","XP_011262137.1",0,999,0,1011,"LOC105254753","protein GDAP2 homolog","DBV15_01209","Uncharacterized protein DBV15_01209"
"TGZ31863.1","XP_025266462.1",0,999,0,1011,"LOC105254753","protein GDAP2 homolog","DBV15_01209","Uncharacterized protein DBV15_01209"
"TGZ31864.1","XP_025266485.1",0,2051,0,2060,"LOC105251173","putative protein tag-278 isoform X1","DBV15_01208","Uncharacterized protein DBV15_01208"
"TGZ31864.1","XP_025266486.1",0,2051,0,2060,"LOC105251173","putative protein tag-278 isoform X1","DBV15_01208","Uncharacterized protein DBV15_01208"
"TGZ31864.1","XP_025266487.1",0,1966,0,1971,"LOC105251173","putative protein tag-278 isoform X2","DBV15_01208","Uncharacterized protein DBV15_01208"
"TGZ31864.1","XP_025266491.1",0,1952,0,1956,"LOC105251173","putative protein tag-278 isoform X5","DBV15_01208","Uncharacterized protein DBV15_01208"
"TGZ31869.1","XP_025269824.1",0,597,0,597,"LOC105256535","venom serine protease 34","DBV15_01173","Uncharacterized protein DBV15_01173"
"TGZ31870.1","XP_019884720.1",0,1036,0,1008,"LOC105256532","centrosomal protein of 89 kDa","DBV15_01172","Uncharacterized protein DBV15_01172"
"TGZ31874.1","XP_011264831.1",4e-174,492,2e-174,492,"LOC105256533","fatty acid 2-hydroxylase","DBV15_01175","Uncharacterized protein DBV15_01175"
"TGZ31875.1","XP_011264829.1",0,1173,0,1222,"LOC105256530","sodium- and chloride-dependent transporter XTRP3","DBV15_01174","Orphan sodium-and chloride-dependent neurotransmitter transporter NTT4"
"TGZ31876.1","XP_025268955.1",8e-105,307,3e-105,307,"LOC112639384","transient receptor potential-gamma protein-like","DBV15_01187","Uncharacterized protein DBV15_01187"
"TGZ31884.1","XP_011252909.2",7e-148,429,6e-134,392,"LOC105249280","cone-rod homeobox protein","DBV15_01133","Dorsal root ganglia homeobox protein"
"TGZ31885.1","XP_011252907.1",0,1472,0,1472,"LOC105249278","microsomal triglyceride transfer protein","DBV15_01132","Microsomal triglyceride transfer protein large subunit"
"TGZ31886.1","XP_011252106.1",4e-177,493,2e-177,493,"LOC105248806","ubiquitin-conjugating enzyme E2 J1","DBV15_01192","Ubiquitin-conjugating enzyme E2 J1"
"TGZ31887.1","XP_011266692.2",0,934,0,935,"LOC105257637","double-strand break repair protein MRE11","DBV15_01199","Double-strand break repair protein mre11-like protein"
"TGZ31890.1","XP_011252910.1",0,2073,0,2073,"LOC105249281","DNA repair protein RAD50","DBV15_01139","DNA repair protein RAD50"
"TGZ31890.1","XP_011252911.1",0,2073,0,2073,"LOC105249281","DNA repair protein RAD50","DBV15_01139","DNA repair protein RAD50"
"TGZ31891.1","XP_011261299.1",0,655,0,660,"LOC105254367","sestrin-3 isoform X1","DBV15_01216","Uncharacterized protein DBV15_01216"
"TGZ31892.1","XP_025261767.1",2e-55,169,1e-55,169,"LOC105254369","uncharacterized protein LOC105254369","DBV15_01217","Uncharacterized protein DBV15_01217"
"TGZ31893.1","XP_025261806.1",0,1491,0,1489,"LOC105254365","intraflagellar transport protein 88 homolog isoform X1","DBV15_01214","Intraflagellar transport protein 88-like protein"
"TGZ31894.1","XP_011261297.1",0,896,0,896,"LOC105254366","hexokinase-2","DBV15_01215","Phosphotransferase"
"TGZ31895.1","XP_011257945.1",0,1794,0,1771,"LOC105252319","uncharacterized protein LOC105252319 isoform X1","DBV15_01212","Uncharacterized protein DBV15_01212"
"TGZ31895.1","XP_011257946.1",0,1795,0,1770,"LOC105252319","uncharacterized protein LOC105252319 isoform X2","DBV15_01212","Uncharacterized protein DBV15_01212"
"TGZ31895.1","XP_011257947.1",0,1808,0,1783,"LOC105252319","uncharacterized protein LOC105252319 isoform X3","DBV15_01212","Uncharacterized protein DBV15_01212"
"TGZ31895.1","XP_011257948.1",0,1795,0,1770,"LOC105252319","uncharacterized protein LOC105252319 isoform X4","DBV15_01212","Uncharacterized protein DBV15_01212"
"TGZ31896.1","XP_025265761.1",0,583,0,566,"LOC105254238","uncharacterized protein LOC105254238 isoform X1","DBV15_01213","Uncharacterized protein DBV15_01213"
"TGZ31896.1","XP_025265762.1",0,583,0,566,"LOC105254238","uncharacterized protein LOC105254238 isoform X1","DBV15_01213","Uncharacterized protein DBV15_01213"
"TGZ31896.1","XP_025265763.1",0,583,0,566,"LOC105254238","uncharacterized protein LOC105254238 isoform X1","DBV15_01213","Uncharacterized protein DBV15_01213"
"TGZ31896.1","XP_025265764.1",0,574,0,561,"LOC105254238","uncharacterized protein LOC105254238 isoform X2","DBV15_01213","Uncharacterized protein DBV15_01213"
"TGZ31896.1","XP_025265845.1",0,580,0,563,"LOC112638406","uncharacterized protein LOC112638406","DBV15_01213","Uncharacterized protein DBV15_01213"
"TGZ31896.1","XP_025269874.1",0,572,0,568,"LOC105252460","uncharacterized protein LOC105252460","DBV15_01213","Uncharacterized protein DBV15_01213"
"TGZ31897.1","XP_025265718.1",0,541,0,541,"LOC112638352","diacylglycerol O-acyltransferase 2-like isoform X1","DBV15_01210","Uncharacterized protein DBV15_01210"
"TGZ31897.1","XP_025265753.1",0,533,0,533,"LOC105252970","2-acylglycerol O-acyltransferase 2-B","DBV15_01210","Uncharacterized protein DBV15_01210"
"TGZ31897.1","XP_025266476.1",0,546,0,546,"LOC105250362","diacylglycerol O-acyltransferase 2 isoform X1","DBV15_01210","Uncharacterized protein DBV15_01210"
"TGZ31897.1","XP_025266477.1",0,546,0,546,"LOC105250362","diacylglycerol O-acyltransferase 2 isoform X1","DBV15_01210","Uncharacterized protein DBV15_01210"
"TGZ31897.1","XP_025266478.1",0,546,0,546,"LOC105250362","diacylglycerol O-acyltransferase 2 isoform X1","DBV15_01210","Uncharacterized protein DBV15_01210"
"TGZ31897.1","XP_025266479.1",0,549,0,549,"LOC105250362","diacylglycerol O-acyltransferase 2 isoform X2","DBV15_01210","Uncharacterized protein DBV15_01210"
"TGZ31897.1","XP_025266480.1",0,533,0,533,"LOC105250362","2-acylglycerol O-acyltransferase 2-B isoform X3","DBV15_01210","Uncharacterized protein DBV15_01210"
"TGZ31898.1","XP_011257950.1",0,671,0,671,"LOC105252320","kynurenine 3-monooxygenase isoform X1","DBV15_01211","Kynurenine 3-monooxygenase, partial"
"TGZ31898.1","XP_025266346.1",0,670,0,670,"LOC105252320","kynurenine 3-monooxygenase isoform X2","DBV15_01211","Kynurenine 3-monooxygenase, partial"
"TGZ31901.1","XP_011261300.1",0,880,0,877,"LOC105254367","sestrin homolog isoform X2","DBV15_01221","Sestrin-like protein"
"TGZ31904.1","XP_011264795.2",0,14538,0,14400,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X1","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264797.2",0,14544,0,14405,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X2","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264798.2",0,14540,0,14402,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X3","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264799.2",0,14546,0,14407,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X4","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264800.2",0,14491,0,14357,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X5","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264801.2",0,14480,0,14402,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X6","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264802.2",0,14552,0,14417,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X7","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264804.2",0,14479,0,14399,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X8","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264805.2",0,14496,0,14361,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X9","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264807.2",0,14468,0,14340,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X11","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264808.2",0,14540,0,14405,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X12","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264809.2",0,14539,0,14394,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X13","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264810.2",0,14548,0,14412,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X15","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264811.2",0,14388,0,14312,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X16","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264812.2",0,14487,0,14407,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X17","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264813.2",0,14361,0,14221,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X20","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264814.2",0,14388,0,14311,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X21","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264815.2",0,14485,0,14401,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X23","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264816.2",0,14481,0,14397,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X24","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264817.2",0,14633,0,14503,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X26","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264818.2",0,14633,0,14503,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X26","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264820.2",0,14633,0,14503,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X26","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264821.2",0,14481,0,14385,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X27","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264826.2",0,14520,0,14373,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X30","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264827.2",0,14567,0,14428,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X31","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_011264828.2",0,14348,0,14271,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X33","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_019884714.2",0,14539,0,14394,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X13","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_019884716.2",0,14542,0,14395,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X14","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_019884717.2",0,14545,0,14392,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X18","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_019884718.2",0,14542,0,14401,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X22","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_019884719.2",0,14549,0,14398,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X25","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_025269853.1",0,14558,0,14420,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X10","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_025269854.1",0,14539,0,14394,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X13","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_025269855.1",0,14476,0,14392,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X19","DBV15_01167","Bullous pemphigoid antigen 1"
