agam,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
NP_008077.1,XP_019884946.2,3.00E-73,236,8.00E-62,204
NP_008081.1,XP_019884947.1,2.00E-65,209,2.00E-75,234
XP_001230319.2,XP_025269701.1,3.00E-12,65.5,2.00E-16,76.3
XP_001230353.1,XP_025265841.1,4.00E-18,76.6,2.00E-18,76.6
XP_001230510.1,XP_025268679.1,2.00E-172,521,1.00E-173,523
XP_001230510.1,XP_025268680.1,2.00E-172,521,1.00E-173,523
XP_001230510.1,XP_025268682.1,2.00E-172,521,1.00E-173,523
XP_001230510.1,XP_025268683.1,7.00E-171,515,3.00E-171,515
XP_001230563.2,XP_011255184.1,1.00E-16,73.6,4.00E-17,73.6
XP_001230595.2,XP_025262472.1,1.00E-73,245,1.00E-72,241
XP_001230608.1,XP_011253436.1,0,790,0,767
XP_001230608.1,XP_011253437.1,0,794,0,772
XP_001230608.1,XP_011253439.1,0,794,0,772
XP_001230608.1,XP_011253441.1,0,794,0,772
XP_001230608.1,XP_025270295.1,0,794,0,772
XP_001230619.3,XP_011254506.1,1.00E-29,117,7.00E-30,116
XP_001230640.2,XP_011252027.1,2.00E-12,67.4,2.00E-12,65.9
XP_001230640.2,XP_011252028.1,1.00E-12,67.8,1.00E-12,66.2
XP_001230640.2,XP_019882288.1,1.00E-12,67,9.00E-13,65.9
XP_001230640.2,XP_019882289.1,1.00E-12,67,9.00E-13,65.9
XP_001230640.2,XP_019882290.1,1.00E-12,67,9.00E-13,65.9
XP_001230640.2,XP_025265002.1,1.00E-12,67.8,2.00E-12,66.2
XP_001230648.1,XP_011269081.2,1.00E-19,84.3,5.00E-23,92.8
XP_001230651.1,XP_011259493.1,1.00E-167,482,8.00E-155,448
XP_001230651.1,XP_011259494.1,7.00E-170,488,2.00E-157,455
XP_001230651.1,XP_011259495.1,6.00E-171,490,3.00E-158,457
XP_001230651.1,XP_011259496.1,2.00E-173,496,6.00E-161,463
XP_001230651.1,XP_011259497.1,1.00E-166,478,5.00E-155,447
XP_001230651.1,XP_011259500.1,3.00E-166,477,4.00E-143,417
XP_001230651.1,XP_025266872.1,3.00E-167,479,5.00E-144,419
XP_001230685.2,XP_011267559.2,0,934,0,978
XP_001230709.1,XP_025265705.1,4.00E-10,61.2,2.00E-10,61.2
XP_001230769.3,XP_011255397.1,0,623,0,640
XP_001230772.1,XP_011250479.1,0,756,0,756
XP_001230772.1,XP_011257342.1,0,787,0,787
XP_001230772.1,XP_011257343.1,0,787,0,787
XP_001230772.1,XP_011267531.1,0,769,0,769
XP_001230772.1,XP_011267532.1,0,769,0,769
XP_001230772.1,XP_011267533.1,0,769,0,769
XP_001230772.1,XP_011267534.2,0,773,0,773
XP_001230796.3,XP_019883836.1,5.00E-52,166,3.00E-53,168
XP_001230796.3,XP_025268492.1,4.00E-52,167,2.00E-53,169
XP_001230796.3,XP_025268493.1,4.00E-52,167,2.00E-53,169
XP_001230796.3,XP_025268494.1,3.00E-50,160,1.00E-50,160
XP_001230805.1,XP_025265148.1,3.00E-17,72.4,1.00E-17,72.4
XP_001230821.2,XP_011269309.1,3.00E-92,280,2.00E-92,280
XP_001230821.2,XP_025265889.1,3.00E-92,280,2.00E-92,280
XP_001230823.2,XP_011260338.1,1.00E-30,111,9.00E-33,115
XP_001230824.2,XP_019884062.1,3.00E-14,68.2,2.00E-14,67.8
XP_001230831.2,XP_011265683.1,3.00E-18,80.9,6.00E-19,82.4
XP_001230832.1,XP_011269353.1,4.00E-12,60.5,1.00E-10,55.5
XP_001230836.2,XP_011267870.1,1.00E-153,457,3.00E-150,448
XP_001230839.3,XP_025269709.1,2.00E-43,151,8.00E-50,167
XP_001230840.3,XP_025269709.1,8.00E-44,152,3.00E-50,168
XP_001230842.3,XP_011268061.1,0,604,0,608
XP_001230863.2,XP_011261716.1,3.00E-43,150,5.00E-36,130
XP_001230875.2,XP_019883824.1,4.00E-18,74.3,2.00E-18,74.3
XP_001230897.1,XP_011262984.1,3.00E-155,449,7.00E-155,447
XP_001230905.1,XP_011263897.1,2.00E-06,46.6,8.00E-07,46.6
XP_001230917.2,XP_011255518.1,2.00E-64,195,1.00E-64,195
XP_001230942.3,XP_011258737.1,5.00E-125,376,2.00E-121,365
XP_001230947.2,XP_011267136.1,1.00E-55,175,5.00E-51,162
XP_001230950.3,XP_011263402.1,4.00E-12,60.1,2.00E-12,60.1
XP_001230957.2,XP_025262503.1,3.00E-111,356,6.00E-110,352
XP_001230957.2,XP_025262504.1,7.00E-111,355,7.00E-110,352
XP_001230962.2,XP_011265711.1,0,574,0,558
XP_001230962.2,XP_025265115.1,0,575,0,560
XP_001230962.2,XP_025265116.1,0,574,0,558
XP_001230967.2,XP_011268433.1,2.00E-51,166,9.00E-52,166
XP_001230967.2,XP_011268434.1,8.00E-50,161,4.00E-50,161
XP_001230977.2,XP_019884206.2,1.00E-130,389,2.00E-125,376
XP_001230998.1,XP_011269476.1,1.00E-52,172,2.00E-63,199
XP_001231024.2,XP_025266570.1,1.00E-18,82,8.00E-19,82.4
XP_001231024.2,XP_025266571.1,1.00E-18,82,8.00E-19,82.4
XP_001231040.2,XP_011263361.1,1.00E-36,124,3.00E-38,127
XP_001231040.2,XP_011263362.1,7.00E-36,122,3.00E-37,124
XP_001231045.2,XP_011252077.1,0,1282,0,1300
XP_001231048.2,XP_011261181.1,0,606,0,607
XP_001231086.2,XP_011269250.1,8.00E-99,307,4.00E-99,307
XP_001231086.2,XP_019885529.1,7.00E-99,307,3.00E-99,307
XP_001231183.1,XP_011251750.1,1.00E-18,78.6,5.00E-19,78.6
XP_001231184.3,XP_011265512.1,1.00E-159,497,0,583
XP_001231184.3,XP_011265522.1,2.00E-159,496,0,583
XP_001231184.3,XP_011265529.1,2.00E-155,485,0,573
XP_001231186.2,XP_011259943.1,6.00E-15,71.2,1.00E-15,72
XP_001231186.2,XP_011259944.1,6.00E-15,71.2,1.00E-15,72
XP_001231186.2,XP_011259945.1,6.00E-15,71.2,1.00E-15,72
XP_001231186.2,XP_025265804.1,1.00E-14,70.9,1.00E-15,72.4
XP_001237042.2,XP_025266939.1,0,1528,0,1575
XP_001237047.2,XP_011266173.1,0,616,0,614
XP_001237047.2,XP_011266174.1,0,616,0,614
XP_001237047.2,XP_011266177.1,0,616,0,611
XP_001237047.2,XP_019884949.1,0,616,0,614
XP_001237058.2,XP_011267026.1,5.00E-100,317,1.00E-97,310
XP_001237058.2,XP_011267028.1,4.00E-100,316,4.00E-98,310
XP_001237062.2,XP_011262022.1,0,607,0,614
XP_001237062.2,XP_011262023.1,0,607,0,614
XP_001237070.2,XP_011258860.1,2.00E-73,236,7.00E-74,236
XP_001237084.1,XP_011259137.1,6.00E-18,74.7,3.00E-18,74.7
XP_001237112.2,XP_011267855.1,3.00E-18,75.9,2.00E-16,70.5
XP_001237118.2,XP_011260581.2,3.00E-36,142,4.00E-37,144
XP_001237118.2,XP_019883872.2,3.00E-36,142,3.00E-37,144
XP_001237118.2,XP_019883873.2,3.00E-36,142,3.00E-37,144
XP_001237119.2,XP_011264346.2,0,824,0,820
XP_001237119.2,XP_025269922.1,0,824,0,820
XP_001237120.2,XP_025263331.1,0,767,0,753
XP_001237121.2,XP_025263331.1,0,767,0,753
XP_001237138.3,XP_011269678.1,0,1107,0,1113
XP_001237138.3,XP_011269679.1,0,1107,0,1113
XP_001237138.3,XP_011269681.1,0,1105,0,1112
XP_001237138.3,XP_011269682.1,0,1113,0,1120
XP_001237138.3,XP_011269683.1,0,1100,0,1107
XP_001237138.3,XP_011269685.1,0,1107,0,1110
XP_001237138.3,XP_019885603.1,0,1107,0,1113
XP_001237142.2,XP_011264204.1,3.00E-84,278,4.00E-82,271
XP_001237142.2,XP_011264205.1,3.00E-84,278,4.00E-82,271
XP_001237161.2,XP_011263884.1,8.00E-32,115,1.00E-33,118
XP_001237166.1,XP_011255298.1,4.00E-45,149,3.00E-45,149
XP_001237166.1,XP_025271412.1,4.00E-45,149,3.00E-45,149
XP_001237166.1,XP_025271413.1,4.00E-45,149,3.00E-45,149
XP_001237187.1,XP_011267293.1,7.00E-38,136,2.00E-54,179
XP_001237190.2,XP_011266440.1,1.00E-21,87.8,2.00E-20,83.6
XP_001237195.3,XP_011255614.1,3.00E-65,235,3.00E-63,228
XP_001237242.1,XP_011257805.2,1.00E-17,72.8,3.00E-13,60.5
XP_001237242.1,XP_011257806.2,1.00E-17,72.8,3.00E-13,60.5
XP_001237261.3,XP_011266941.2,5.00E-170,534,8.00E-171,535
XP_001237264.1,XP_011258105.1,0,678,0,700
XP_001237264.1,XP_011258106.1,0,677,0,698
XP_001237266.2,XP_011265025.1,4.00E-34,115,2.00E-34,115
XP_001237269.3,XP_025268556.1,2.00E-86,291,3.00E-80,273
XP_001237269.3,XP_025268557.1,2.00E-86,291,3.00E-80,273
XP_001237270.1,XP_025268646.1,5.00E-67,200,2.00E-67,200
XP_001237272.3,XP_011255017.1,4.00E-79,240,2.00E-79,240
XP_001237272.3,XP_019882885.1,4.00E-79,240,2.00E-79,240
XP_001237280.3,XP_011267721.1,4.00E-42,147,8.00E-43,147
XP_001237288.2,XP_011257274.1,1.00E-42,160,5.00E-43,160
XP_001237288.2,XP_019883299.1,1.00E-42,160,5.00E-43,160
XP_001237297.2,XP_011269072.1,0,1058,0,1041
XP_001237311.3,XP_011257649.1,1.00E-82,251,5.00E-88,264
XP_001237311.3,XP_011257650.1,2.00E-82,250,6.00E-88,264
XP_001237316.2,XP_011269651.1,9.00E-98,295,1.00E-98,296
XP_001237358.3,XP_011257613.2,1.00E-118,350,1.00E-125,368
XP_001237369.2,XP_011263917.2,0,679,0,664
XP_001237393.3,XP_011265496.2,3.00E-120,357,2.00E-120,357
XP_001237393.3,XP_011265497.2,3.00E-120,357,2.00E-120,357
