temno,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
TGZ31812.1,XP_011252771.1,3.00E-28,110,1.00E-28,110
TGZ31812.1,XP_011252772.1,2.00E-28,110,6.00E-29,110
TGZ31812.1,XP_011252773.1,2.00E-28,110,6.00E-29,110
TGZ31814.1,XP_011263205.1,0,797,0,795
TGZ31814.1,XP_011263206.1,0,758,0,753
TGZ31816.1,XP_011263199.1,0,927,0,927
TGZ31816.1,XP_011263200.1,0,949,0,949
TGZ31816.1,XP_019884450.1,0,934,0,934
TGZ31818.1,XP_011265910.1,0,881,0,833
TGZ31819.1,XP_011265908.1,5.00E-104,299,2.00E-104,299
TGZ31819.1,XP_011265909.1,5.00E-104,299,2.00E-104,299
TGZ31820.1,XP_011265888.1,0,2277,0,2251
TGZ31820.1,XP_011265889.1,0,2223,0,2199
TGZ31820.1,XP_011265890.1,0,2222,0,2197
TGZ31820.1,XP_011265892.1,0,2222,0,2197
TGZ31820.1,XP_011265893.1,0,2222,0,2197
TGZ31820.1,XP_011265894.1,0,2224,0,2200
TGZ31821.1,XP_025269220.1,2.00E-123,358,2.00E-133,382
TGZ31821.1,XP_025269221.1,2.00E-123,358,2.00E-133,382
TGZ31821.1,XP_025269222.1,2.00E-123,358,2.00E-133,382
TGZ31821.1,XP_025269223.1,2.00E-123,358,2.00E-133,382
TGZ31821.1,XP_025269224.1,2.00E-123,358,2.00E-133,382
TGZ31821.1,XP_025269225.1,2.00E-123,358,2.00E-133,382
TGZ31821.1,XP_025269226.1,2.00E-123,358,2.00E-133,382
TGZ31821.1,XP_025269227.1,2.00E-123,358,2.00E-133,382
TGZ31822.1,XP_011265895.1,0,2294,0,2293
TGZ31823.1,XP_025269162.1,0,889,0,867
TGZ31825.1,XP_025269161.1,0,1193,0,1193
TGZ31835.1,XP_011258477.1,8.00E-169,482,4.00E-171,488
TGZ31835.1,XP_011258479.1,2.00E-169,482,4.00E-172,488
TGZ31835.1,XP_025269228.1,1.00E-169,482,3.00E-172,488
TGZ31835.1,XP_025269229.1,2.00E-169,481,3.00E-172,487
TGZ31835.1,XP_025269230.1,2.00E-169,481,3.00E-172,487
TGZ31835.1,XP_025269231.1,2.00E-169,481,3.00E-172,487
TGZ31836.1,XP_011265898.1,0,976,0,961
TGZ31837.1,XP_011265899.1,0,724,0,731
TGZ31838.1,XP_011258480.1,0,579,0,579
TGZ31839.1,XP_011258482.1,0,672,0,672
TGZ31840.1,XP_011265920.1,0,2124,0,2105
TGZ31841.1,XP_019884896.1,0,998,0,986
TGZ31842.1,XP_011258470.1,0,709,0,704
TGZ31843.1,XP_011258471.1,0,2342,0,2342
TGZ31843.1,XP_019883535.1,0,2342,0,2342
TGZ31843.1,XP_025269142.1,0,2342,0,2342
TGZ31843.1,XP_025269143.1,0,2342,0,2342
TGZ31843.1,XP_025269144.1,0,2342,0,2342
TGZ31843.1,XP_025269145.1,0,2347,0,2347
TGZ31843.1,XP_025269146.1,0,2336,0,2336
TGZ31845.1,XP_011258475.1,0,726,0,726
TGZ31846.1,XP_011258474.1,0,680,0,696
TGZ31847.1,XP_011265922.1,8.00E-101,289,3.00E-101,289
TGZ31850.1,XP_011252117.1,3.00E-81,250,9.00E-82,250
TGZ31850.1,XP_025263524.1,4.00E-81,249,1.00E-81,249
